period,prior_period,quantity,revenue,gross_margin_amount,prior_quantity,prior_revenue,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial,is_partial_period
2023-04,2022-04,4669.8,596374.08,428859.93,16723.75,1784248.43,-0.720768,-0.665756,False,False
2023-05,2022-05,36684.79,7040991.78,4635419.43,10889.03,1407669.06,2.368968,4.00188,False,False
2023-06,2022-06,46970.19,4923370.66,2235984.32,17890.7,3009019.44,1.625397,0.636204,False,False
2023-07,2022-07,10514.57,1326655.45,689515.69,3981.0,1106942.94,1.641188,0.198486,False,False
2023-08,2022-08,17615.83,1126997.26,842936.11,2683.7,765704.16,5.564009,0.471844,False,False
2023-09,2022-09,6398.89,862620.13,696454.21,11326.6,2453379.94,-0.435056,-0.648395,False,False
2023-10,2022-10,3320.3,1026638.26,632589.34,6097.2,1351916.18,-0.455439,-0.240605,False,False
2023-11,2022-11,6971.63,889834.36,599711.58,8152.5,1515612.15,-0.144848,-0.412888,False,False
2023-12,2022-12,1718.5,307151.46,286628.9,9551.0,1359533.74,-0.820071,-0.774076,False,False
2024-01,2023-01,2565.0,689260.1,631988.78,26785.48,3434774.84,-0.904239,-0.799329,False,False
2024-02,2023-02,1703.73,366526.18,318906.53,48728.69,6726958.03,-0.965036,-0.945514,False,False
2024-03,2023-03,3246.03,638724.73,560577.18,8667.83,983171.36,-0.625508,-0.350342,False,False
2024-04,2023-04,2368.02,1041773.4,575570.55,4669.8,596374.08,-0.492908,0.746846,False,False
2024-05,2023-05,2963.0,1632890.31,1035207.49,36684.79,7040991.78,-0.919231,-0.768088,False,False
2024-06,2023-06,12459.38,4005598.86,2511748.21,46970.19,4923370.66,-0.734739,-0.186411,False,False
2024-07,2023-07,8491.0,3208523.33,777137.42,10514.57,1326655.45,-0.192454,1.418505,False,False
2024-08,2023-08,4257.5,2394197.38,958196.25,17615.83,1126997.26,-0.758314,1.124404,False,False
2024-09,2023-09,3781.43,1354346.17,837985.17,6398.89,862620.13,-0.409049,0.570038,False,False
2024-10,2023-10,2638.5,1657595.0,893082.21,3320.3,1026638.26,-0.205343,0.614585,False,False
2024-11,2023-11,1890.19,1131915.29,671763.73,6971.63,889834.36,-0.728874,0.272052,False,False
2024-12,2023-12,4837.34,12384653.75,5857311.56,1718.5,307151.46,1.814862,39.320999,False,False
2025-01,2024-01,5211.0,6954559.51,5760628.2,2565.0,689260.1,1.031579,9.089891,True,False
2025-02,2024-02,39616.83,8009644.4,3292017.13,1703.73,366526.18,22.252998,20.852858,True,False
2025-03,2024-03,15191.33,1323106.33,847090.14,3246.03,638724.73,3.679972,1.071481,True,False
2025-04,2024-04,15588.0,2863686.17,2095973.77,2368.02,1041773.4,5.582715,1.748857,True,False
2025-05,2024-05,6092.0,11978114.3,7371930.16,2963.0,1632890.31,1.056024,6.335529,True,False
2025-06,2024-06,74706.09,7222855.62,4831779.46,12459.38,4005598.86,4.995972,0.80319,True,False
2025-07,2024-07,29747.0,8178558.98,6718542.89,8491.0,3208523.33,2.503356,1.54901,True,True
2025-08,2024-08,25265.34,4313786.78,2874067.98,4257.5,2394197.38,4.934314,0.801767,True,True
2025-09,2024-09,112844.3,11718200.64,7435798.2,3781.43,1354346.17,28.8417,7.652294,True,True
2025-10,2024-10,19088.27,7374922.58,4237948.29,2638.5,1657595.0,6.234516,3.44917,True,True
2025-11,2024-11,42315.84,12222850.13,7605631.14,1890.19,1131915.29,21.387083,9.798379,True,True
2025-12,2024-12,35585.83,12585644.81,7072369.89,4837.34,12384653.75,6.356487,0.016229,True,True
