period,prior_period,quantity,revenue,gross_margin_amount,prior_quantity,prior_revenue,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
2020-01,2019-01,15080.41,2295213.56,5563225.37,9260.24,1377897.05,0.628512,0.665737,False
2020-02,2019-02,10835.34,2038024.63,5110121.31,9470.65,1988246.07,0.144097,0.025036,False
2020-03,2019-03,17880.95,2844059.27,5132902.5,12339.72,2027713.64,0.449056,0.402594,False
2020-04,2019-04,2549.67,530651.4,1193167.6,27585.22,2444016.94,-0.907571,-0.782877,False
2020-05,2019-05,19872.92,2791831.41,17160658.86,22554.13,2801484.16,-0.118879,-0.003446,False
2020-06,2019-06,9638.18,1470882.67,3143300.32,16042.85,1694271.1,-0.399223,-0.131849,False
2020-07,2019-07,7971.79,1090499.3,2607432.1,23369.62,2909970.88,-0.658882,-0.625254,False
2020-08,2019-08,3048.0,926064.64,1561540.39,10609.35,1630592.85,-0.712706,-0.432069,False
2020-09,2019-09,3354.38,696220.17,843952.77,15600.9,1794561.17,-0.784988,-0.612039,False
2020-10,2019-10,4542.91,673345.47,1462677.53,,,,,False
2020-11,2019-11,8225.5,2008037.57,3689949.07,,,,,False
2020-12,2019-12,3247.34,627359.39,1608464.33,,,,,False
2021-01,2020-01,17887.76,2568258.34,6268892.09,15080.41,2295213.56,0.186159,0.118963,False
2021-02,2020-02,5468.8,1196801.75,1876557.41,10835.34,2038024.63,-0.495281,-0.412764,False
2021-03,2020-03,4842.5,892637.62,1778655.66,17880.95,2844059.27,-0.729181,-0.68614,False
2021-04,2020-04,6178.59,1633582.56,2814742.51,2549.67,530651.4,1.42329,2.078448,False
2021-05,2020-05,6585.44,1596115.5,3516188.48,19872.92,2791831.41,-0.668622,-0.428291,False
2021-06,2020-06,13091.57,1234173.36,3789214.33,9638.18,1470882.67,0.358303,-0.16093,False
2021-07,2020-07,10706.09,1816717.48,4165528.98,7971.79,1090499.3,0.342997,0.66595,False
2021-08,2020-08,32075.27,4536065.84,6114492.31,3048.0,926064.64,9.523383,3.898217,False
2021-09,2020-09,17369.75,3141134.71,5349791.61,3354.38,696220.17,4.17823,3.511697,False
2021-10,2020-10,16133.68,5253594.01,7254358.03,4542.91,673345.47,2.551398,6.802227,False
2021-11,2020-11,18525.24,2706945.66,7342041.19,8225.5,2008037.57,1.252172,0.348055,False
2021-12,2020-12,4645.17,1045500.64,1742056.27,3247.34,627359.39,0.430454,0.66651,False
2022-01,2021-01,6559.46,652570.28,1811995.95,17887.76,2568258.34,-0.633299,-0.745909,False
2022-02,2021-02,13807.06,3302345.12,6284459.61,5468.8,1196801.75,1.524696,1.759308,False
2022-03,2021-03,18124.07,3138472.37,6342342.63,4842.5,892637.62,2.742709,2.515954,False
2022-04,2021-04,5868.73,1018999.0,1668960.63,6178.59,1633582.56,-0.050151,-0.376218,False
2022-05,2021-05,12301.33,1626832.89,2914688.12,6585.44,1596115.5,0.867959,0.019245,False
2022-06,2021-06,17781.7,2990702.04,7419485.99,13091.57,1234173.36,0.358256,1.423243,False
2022-07,2021-07,5433.9,1264932.41,2638013.09,10706.09,1816717.48,-0.492448,-0.303726,False
2022-08,2021-08,5493.77,1165582.55,1651889.69,32075.27,4536065.84,-0.828723,-0.743041,False
2022-09,2021-09,4046.47,1170788.48,1737073.4,17369.75,3141134.71,-0.767039,-0.627272,False
2022-10,2021-10,12728.66,2247923.19,4972578.17,16133.68,5253594.01,-0.21105,-0.572117,False
2022-11,2021-11,14886.2,1572687.92,3533906.3,18525.24,2706945.66,-0.196437,-0.419018,False
2022-12,2021-12,6696.0,1171112.88,1809811.75,4645.17,1045500.64,0.441497,0.120146,False
2023-01,2022-01,20538.34,2665390.57,3517526.03,6559.46,652570.28,2.131102,3.08445,False
2023-02,2022-02,4105.09,656437.76,598507.74,13807.06,3302345.12,-0.702682,-0.801221,False
2023-03,2022-03,9701.4,1061895.38,1283919.5,18124.07,3138472.37,-0.464723,-0.661652,False
2023-04,2022-04,6230.0,598573.51,930116.84,5868.73,1018999.0,0.061558,-0.412587,False
2023-05,2022-05,34680.53,6484681.07,8335222.73,12301.33,1626832.89,1.81925,2.986077,False
2023-06,2022-06,98990.67,22178785.66,22544391.01,17781.7,2990702.04,4.566997,6.415913,False
2023-07,2022-07,13841.14,1923731.26,3098190.88,5433.9,1264932.41,1.547183,0.520817,False
2023-08,2022-08,18895.66,1234421.04,1630778.12,5493.77,1165582.55,2.439471,0.059059,False
2023-09,2022-09,6387.7,858007.13,4194954.51,4046.47,1170788.48,0.578586,-0.267154,False
2023-10,2022-10,3965.7,1209293.65,1657954.75,12728.66,2247923.19,-0.688443,-0.46204,False
2023-11,2022-11,54041.33,7719362.23,11059305.68,14886.2,1572687.92,2.630297,3.908388,False
2023-12,2022-12,672.0,156033.19,282247.81,6696.0,1171112.88,-0.899642,-0.866765,False
2024-01,2023-01,2111.77,590911.41,1155435.7,20538.34,2665390.57,-0.897179,-0.778302,False
2024-02,2023-02,2106.84,756058.34,1267124.8,4105.09,656437.76,-0.486774,0.151759,False
2024-03,2023-03,4249.33,675553.97,1317230.14,9701.4,1061895.38,-0.561988,-0.363822,False
2024-04,2023-04,8117.52,1042702.0,1057349.08,6230.0,598573.51,0.302973,0.741978,False
2024-05,2023-05,3529.5,1298307.64,2012922.84,34680.53,6484681.07,-0.898228,-0.799789,False
2024-06,2023-06,8219.38,3920718.94,3596851.73,98990.67,22178785.66,-0.916968,-0.823222,False
2024-07,2023-07,2325.0,1820005.52,1800800.55,13841.14,1923731.26,-0.832023,-0.053919,False
2024-08,2023-08,4017.0,2280339.14,1866755.49,18895.66,1234421.04,-0.787412,0.847294,False
2024-09,2023-09,1697.0,1683287.05,1214044.75,6387.7,858007.13,-0.734333,0.961857,False
2024-10,2023-10,6782.5,2541620.43,1872584.64,3965.7,1209293.65,0.710291,1.10174,False
2024-11,2023-11,4591.12,1546044.76,1918609.36,54041.33,7719362.23,-0.915044,-0.799719,False
2024-12,2023-12,3455.84,12351001.3,8633391.7,672.0,156033.19,4.142619,78.156244,False
2025-01,2024-01,5211.0,6954559.51,9419532.67,2111.77,590911.41,1.467598,10.769208,True
2025-02,2024-02,39425.83,7986052.0,2213918.35,2106.84,756058.34,17.713253,9.562746,True
2025-03,2024-03,15191.33,1323106.33,1154868.77,4249.33,675553.97,2.574994,0.95855,True
2025-04,2024-04,15523.0,2773899.84,2729262.03,8117.52,1042702.0,0.912284,1.6603,True
2025-05,2024-05,6094.0,11979174.3,8641544.95,3529.5,1298307.64,0.72659,8.226761,True
2025-06,2024-06,75099.59,7396665.28,7329464.25,8219.38,3920718.94,8.136892,0.886558,True
2025-07,2024-07,29747.0,8178558.98,12080411.83,2325.0,1820005.52,11.794409,3.4937,True
2025-08,2024-08,25503.34,4353766.78,3949804.53,4017.0,2280339.14,5.348852,0.909263,True
2025-09,2024-09,112702.3,11696682.84,8864880.13,1697.0,1683287.05,65.412669,5.948716,True
2025-10,2024-10,19088.27,7374922.58,4660694.73,6782.5,2541620.43,1.814341,1.901662,True
2025-11,2024-11,42315.84,12222850.13,9727895.07,4591.12,1546044.76,8.216888,6.905884,True
2025-12,2024-12,35350.33,12505691.68,8642520.73,3455.84,12351001.3,9.229157,0.012525,True
