date_delivered,date_is_estimated,date_estimation_method,original_date_delivered,nearest_dated_source_row_number,date_source_row_distance,year,month,day,dr_number,area,product,quantity,unit_cost,total_cost,discount,net_cost,trade_price_unit,total_trade_price,net_income,margin_pct,quality_status,quality_notes,allocation_status,estimated,original_area,original_product,allocation_method,allocation_confidence,allocation_profile_level,allocation_weight,allocation_child_number,allocation_child_count,embedded_area_amount,allocated_embedded_area_amount,source_workbook,source_sheet,source_row_number,source_hash,business_hash,parent_source_hash,parent_business_hash,input_stage,standardization_applied,duplicate,allocation_profile_rows,allocation_profile_products,date_issue
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-023314,Admin,AZITHROM,30,90,2700,0,2700,45,1350,1350,0.5,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,27,a5b141c52fa0a4706b54d32bfedf74c9d1cd2a30d42a16fee0baaabe97e68f91,d926a4f7ae6cf7547f030a45fece308dc866a1e00fc6eef1025ed0eef422bd51,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-023311,Admin,IVERMECTIN15MG DR ZENS,0.2,3200,640,0,640,2430,486,154,0.24,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,28,589ccf75773d3a90950b216cebd690261590aebdc03bf4e90292c886a46e9f20,399f33c92d28c43b79273e90509cbe53190cf155b5d1ffa28e26762c9bd3f921,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-023200,Admin,FERN-D 120'S,2,850,1700,0,1700,680,1360,340,0.2,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,29,b02afd5f6f69a5a7a48a85403ce172ffdd78b398958ad92bdae823bae85a259c,6a496defadaab9ebeb5a4fd80d597f729c2facfb548cdad7ab62c56032860905,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-024701,Admin,MOLNUPIRAVIR 400MG,10,300,3000,0,3000,180,1800,1200,0.4,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,51,3e1f3c1c9e99be3d35ae2210ed31305c59881d912b54ff54ecbe15b1ae49a5d1,3c528c83b69cfafbbcc8a496b6be15de18eebdcc01f18cac25c8f7ad8798c814,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-023313,Admin,PARA500,5,150,750,0,750,70,350,400,0.53,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,52,f8217c9265d3f09d106e87d227ca76397fbc92186770959013a045b976dab7c1,f8d1ab76d140276b1365968ee5654c3cc5edf840a7d0640f2441fc1aa2056f39,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-023407,Pharma,APREZAL 20MG/ML AMP,1,3900,3900,0,3900,862.17,862.17,3037.83,0.78,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,923,6f18438d738a7eba30cacb7fdf9486f6a6a1aca113f4a51c55690faac5cf9e40,3f692bad602c0078020183a75c92ea791cad7d52c3d7d13e58dbda00314654b1,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-023407,Pharma,CATAMED 75MCG TAB,2,2100,4200,0,4200,385,770,3430,0.82,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,924,a90e96473d548f08acf7391cd57e4832a4b7980c4207176c4338105483cc233f,fd1874cb3fc67d1d4567d06e4589773207f0f46a9dcc6516542f04041134b092,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-023410,Pharma,CETHERGO 200MCG,1,4225,4225,0,4225,930,930,3295,0.78,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,925,0b82267d9377403d504a033045cf20e10ac55079cb27b7b238dc5cf4c2b525a9,7d9bd21aa925b5fd3f48e09c12b8bb5348077f742db12a059bc292e81fa62872,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-023409,Supplies,STARTER LIGHT,10,40,400,0,400,13,130,270,0.68,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,947,40fe7f892c8735beaeff3c692f8533549d1b37993a97d23e167e3718225d1bec,dec1a6f1de7097e7256f7dd63e810346284dce7638e267003cf0891f390070f8,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-MS001137,Government,AXMEL 500MG,5,748,3740,0,3740,129,645,3095,0.83,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,3095,27fe172c766bc441762b1716e63381b98019e37da5cd320d19f3c7323d220159,f8a46a220687e783ea9d62378a239dd942064cf6764c74471ac29e125148ea52,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-MS001137,Government,LIFERZIN 250MG,20,389,7780,0,7780,110,2200,5580,0.72,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,3096,3c5a3e3d282a0d15ef88335265b9131768be279100e57749fb8b2caa0151638b,6554c79be4a7378c40b8d899c2c6fcf64d3902785bdd9d4b732533408649a85f,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-MS001137,Government,ENOCEE 500MG,10,499,4990,0,4990,55.44,554.4,4435.6,0.89,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,3097,548c3c543685f95135463002c42e4924dfef6ac4f66b80ab786f054321eaa528,158ff1e5165a37c5ad74018fc4466a7cec28d78e92f3382c0f17a5bd6c944420,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-MS001137,Government,BECOME PLEX,10,372,3720,0,3720,126,1260,2460,0.66,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,3098,1a1d93360018a2e713a32774768697307c444e5760ddadd1c0b6409a6575e37e,48dd57826a0dbb7880c9604fcc6c14080c0cf7b49236c75abba9eff9e73a3979,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-MS001137,Government,SANIX 200MG,6,1210,7260,0,7260,130,780,6480,0.89,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,3099,ca6430620a7c3021f2b820846811a3682467ce2c6b0712e313113aacfff75f98,b4e2856f9d4322e7560e522474e81bb5bc90285d8b5afb400739d3c44767f2a4,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-MS001137,Government,CETRINOVA 10MG,5,2172,10860,0,10860,40,200,10660,0.98,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,3100,84f243db059de15c0d0f9913b1ca793cc47900410c98645a7416272f2b5c1b01,48cb7e536eed94cbc8861714f9b14437b05339f09795c4a00166ae3a211877f9,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-MS001137,Government,VERTEX 25MG,5,300,1500,0,1500,58,290,1210,0.81,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,3101,ca889df053d1e952fa4f5a0048857e202b2467d2af48e50c135bb19f9c0a25d3,2b3d54c4537fd2c613e98d195a1deba3b7db980fc1a424ec667866968983198e,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-MS001137,Government,PHILCLOX 500MG,5,799,3995,0,3995,310,1550,2445,0.61,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,3102,4a3c5af730fda4927d124edd2438fddd6f03db6f8c6d21c298c3a4df06dd53bc,f82741276d84d8a3dc006313482087820620f068891ae6922b3cfd3b5fad68e8,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-MS001137,Government,DIACIEL 10MG,20,65,1300,0,1300,12,240,1060,0.82,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,3103,54dc44eb478d3986794f9bbb2b93eab4814e286e6dd8e3508584e84f4638c941,1ac6b9019d6b6720b09973e1b54047b8345497f0199cf4f81ca80aafa7b9f9f2,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-MS001137,Government,EPIX BY 10'S,3,860,2580,0,2580,195,585,1995,0.77,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,3104,f9e7d21dedfee48e8d2cac90f2384dabd8709af715b01d4b34c956ec7231b50e,69051d3ce7fd30c74da0b1065e1df01daf1a21b22a3244340506e8d3367cefd6,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-MS001137,Government,FOLACID 5MG,10,698,6980,0,6980,236.25,2362.5,4617.5,0.66,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,3105,a5b671025aaa51b5c78b50541b7b671667b60ed20e0d6b8ec743df710a2f4648,9db8d436e12a948693b6dd035a0f8027d27ec5add21c3996bd013b8965a6e6a2,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-MS001137,Government,GENTAM 40MG,10,495,4950,0,4950,40,400,4550,0.92,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,3106,ef3ff3fae70b790e2a039dd12a20f3bc585fee9843010df2d08d2c1df50bef14,dd4d4728fbb753bbbb3bd3ac63709fffe13d70dc1808a884b2db09a1433c4ead,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-MS001137,Government,OFPLEMED 600MG,3,600,1800,0,1800,195,585,1215,0.68,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,3107,4c30eb379303e493b58fc4791855fa6134d544db4b72e00b50e825bbf506947d,b691d220fecd6f141296d7be456ae58c2db46de3744d900bceea764504682cd8,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-MS001137,Government,MEGYXAN 500MG CAP,10,1449,14490,0,14490,69,690,13800,0.95,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,3108,dae8a574129142218c42aeb9976041743ad6321455c04b1316075e27f2f337c8,d30a79c3412621615268a37b53138be40937a239ba4c834cf6499156820f3fed,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-MS001137,Government,METROZOLE 125MG,20,45,900,0,900,15,300,600,0.67,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,3109,9b16bf70c5976f09a775f7d0b79f47a0be5de9712f1c2bc51b4cded30ca5c2ef,f8783484bad2b7fd9bbccedd47629cee96065ad92b314b3040ac8fd3d367e99f,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-17,false,source_date_delivered,2022-01-17,,,2022,01,17,DR-MS001137,Government,MULTIVITA,10,1097,10970,0,10970,52,520,10450,0.95,valid,,,,,,,,,,,,,,2022s.csv,2022-01-17,3110,1fe84d286c02eb1a42bdf68cb3f21f1371bd4f15cc2259449b8fd44e2d1e9baf,494c576a6fa0f9a248db28fa9f2ab1f0f9200419fb24ea39b99ef87afa1cd412,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
