MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DEC  2021,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Area,DR Number,Date Delivered,Product, Qty , CP , Total CP , Disc , Net CP , TP/UNIT , TOTAL TP , Net Income ,%
Admin,DR 023170,25/10/2021,XYNETRIX CHEWABLE TABLET, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 450.00 ," 3,150.00 "," 1,600.00 ",34%
Admin,DR 023170,25/10/2021,GLOVES BLUE VINYL/NITRILE BLEND (MEDIUM), 3.00 , 630.00 ," 1,890.00 ", -   ," 1,890.00 ", 255.00 , 765.00 ," 1,125.00 ",60%
Admin,DR 023171,25/10/2021,ZELEX 200MG, 7.00 ," 2,000.00 "," 14,000.00 ", -   ," 14,000.00 ", 750.00 ," 5,250.00 "," 8,750.00 ",63%
Admin,DR 023171,25/10/2021,AFENAX 100MG, 3.00 ," 1,900.00 "," 5,700.00 "," 1,710.00 "," 3,990.00 ", 595.00 ," 1,785.00 "," 2,205.00 ",39%
Admin,DR 023165,18/10/2021,ERGON 125MCG, 7.00 , 714.29 ," 5,000.00 ", -   ," 5,000.00 ", 133.33 , 933.31 ," 4,066.69 ",81%
Admin,DR 023165,18/10/2021,SOLVAPRINE 10MG, 14.00 , 671.43 ," 9,400.00 ", -   ," 9,400.00 ", 146.80 ," 2,055.20 "," 7,344.80 ",78%
Admin,DR 023165,18/10/2021,ENOCEE 500mg, 14.00 , 214.29 ," 3,000.00 ", -   ," 3,000.00 ", 48.00 , 672.00 ," 2,328.00 ",78%
Admin,DR 023165,18/10/2021,APCELAC 500MG HERBAL FOOD SUPPLEMENT, 10.00 , 655.00 ," 6,550.00 ", -   ," 6,550.00 ", 400.00 ," 4,000.00 "," 2,550.00 ",39%
Admin,DR 023167,18/10/2021,XYNETRIX CHEWABLE TABLET, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 450.00 ," 3,150.00 "," 1,600.00 ",34%
Admin,DR 023167,18/10/2021,MAXXIVIT PLUS, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 560.00 ," 3,920.00 "," 2,080.00 ",35%
Admin,DR 023167,18/10/2021,FERGLOBIN 250MG, 7.00 , 517.86 ," 3,625.00 ", -   ," 3,625.00 ", 325.00 ," 2,275.00 "," 1,350.00 ",37%
Admin,DR 023167,18/10/2021,CIXTOR-Z 500mg, 14.00 , 450.00 ," 6,300.00 ", -   ," 6,300.00 ", 210.00 ," 2,940.00 "," 3,360.00 ",53%
Admin,DR 023159,18/10/2021,XYNETRIX CHEWABLE TABLET, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 450.00 ," 3,150.00 "," 1,600.00 ",34%
Admin,DR 023159,18/10/2021,MAXXIVIT PLUS, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 560.00 ," 3,920.00 "," 2,080.00 ",35%
Admin,DR 023159,18/10/2021,SOLVAPRINE 10MG, 14.00 , 671.43 ," 9,400.00 ", -   ," 9,400.00 ", 146.80 ," 2,055.20 "," 7,344.80 ",78%
Admin,DR 023159,18/10/2021,HEMOSTAP 500mg, 1.00 ," 2,100.00 "," 2,100.00 ", 630.00 ," 1,470.00 ", 420.00 , 420.00 ," 1,050.00 ",50%
Admin,DR 023165,18/10/2021,ENCLOXIL 500MG, 7.00 ," 1,071.43 "," 7,500.00 ", -   ," 7,500.00 ", 780.00 ," 5,460.00 "," 2,040.00 ",27%
Admin,DR 023165,18/10/2021,ZELEX 200MG, 7.00 ," 2,000.00 "," 14,000.00 ", -   ," 14,000.00 ", 750.00 ," 5,250.00 "," 8,750.00 ",63%
Admin,DR 023165,18/10/2021,LACTAMOX 500MG/125MG TAB, 7.00 ," 2,000.00 "," 14,000.00 ", -   ," 14,000.00 "," 1,047.86 "," 7,335.02 "," 6,664.98 ",48%
