MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2024,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Area,DR Number,Date Delivered,Product, Qty , CP , Total CP , Disc , Net CP , TP/UNIT , TOTAL TP , Net Income ,%
Admin,DR 024134,19/02/2024,FERGLOBIN FA 60MG/400MCG CAP, 7.00 , 642.86 ," 4,500.02 ", -   ," 4,500.02 ", 325.00 ," 2,275.00 "," 2,225.02 ",49%
Admin,DR 024134,19/02/2024,SOLVAPRINE 10MG, 14.00 , 671.43 ," 9,400.02 ", -   ," 9,400.02 ", 150.00 ," 2,100.00 "," 7,300.02 ",78%
Admin,DR 024127,27/01/2024,CIUMADE, 7.00 , 678.57 ," 4,749.99 ", -   ," 4,749.99 ", 450.00 ," 3,150.00 "," 1,599.99 ",34%
Admin,DR 024127,27/01/2024,FOLACID 5MG, 7.00 , 464.29 ," 3,250.03 ", -   ," 3,250.03 ", 236.25 ," 1,653.75 "," 1,596.28 ",49%
Admin,DR 024127,27/01/2024,COMOX 625MG, 3.00 ," 2,800.00 "," 8,400.00 ", -   ," 8,400.00 "," 1,047.80 "," 3,143.40 "," 5,256.60 ",63%
Admin,DR 024127,27/01/2024,HARFURIN 100MG CAP, 3.00 , 714.80 ," 2,144.40 ", -   ," 2,144.40 ", 220.00 , 660.00 ," 1,484.40 ",69%
Admin,DR 024127,27/01/2024,RUCEF, 3.00 ," 2,485.71 "," 7,457.13 ", -   ," 7,457.13 "," 1,160.00 "," 3,480.00 "," 3,977.13 ",53%
Admin,DR 024127,27/01/2024,ANEROCIN 300MG, 1.00 ," 3,800.00 "," 3,800.00 ", -   ," 3,800.00 ", 979.00 , 979.00 ," 2,821.00 ",74%
Admin,DR 024128,30/01/2024,SAPHLOR PLUS-62.5 50MG/12.5MG, 2.00 , 250.00 , 500.00 , -   , 500.00 , 125.00 , 250.00 , 250.00 ,50%
Admin,DR 024131,05/02/2024,CIUMADE, 7.00 , 678.57 ," 4,749.99 ", -   ," 4,749.99 ", 450.00 ," 3,150.00 "," 1,599.99 ",34%
Admin,DR 024131,05/02/2024,SANOMAX - FA, 7.00 , 857.14 ," 5,999.98 ", -   ," 5,999.98 ", 560.00 ," 3,920.00 "," 2,079.98 ",35%
Admin,DR 024131,05/02/2024,CIXTOR-Z 500mg, 7.00 , 630.00 ," 4,410.00 ", -   ," 4,410.00 ", 210.00 ," 1,470.00 "," 2,940.00 ",67%
Admin,DR 024131,05/02/2024,NOVAROSE 1000MG/992MG, 7.00 ," 1,000.00 "," 7,000.00 ", -   ," 7,000.00 ", 128.00 , 896.00 ," 6,104.00 ",87%
Admin,DR 024131,05/02/2024,SOLVAPRINE 10MG, 14.00 , 671.43 ," 9,400.02 ", -   ," 9,400.02 ", 150.00 ," 2,100.00 "," 7,300.02 ",78%
Admin,DR 024131,05/02/2024,BENERVA PLUS 500MG/50MG/100MG/100MCG, 2.00 ," 1,708.00 "," 3,416.00 ", -   ," 3,416.00 ", 615.00 ," 1,230.00 "," 2,186.00 ",64%
Admin,DR 024131,05/02/2024,COMOX 625MG, 3.00 ," 2,800.00 "," 8,400.00 ", -   ," 8,400.00 "," 1,047.80 "," 3,143.40 "," 5,256.60 ",63%
Admin,DR 024131,05/02/2024,CEPROTRON 500MG, 3.00 ," 1,750.00 "," 5,250.00 ", -   ," 5,250.00 ", 550.00 ," 1,650.00 "," 3,600.00 ",69%
Admin,DR 024131,05/02/2024,GLOVES SMALL LATEX NONSTERILE (FITONE), 3.00 , 450.00 ," 1,350.00 ", -   ," 1,350.00 ", 200.00 , 600.00 , 750.00 ,56%
Admin,DR 024131,05/02/2024,HYCLENS WOUND SPRAY (60ML), 20.00 , 229.32 ," 4,586.40 ", -   ," 4,586.40 ", 114.66 ," 2,293.20 "," 2,293.20 ",50%
Admin,DR 024131,05/02/2024,"MICROPORE 1"" - 1530-1 - 3M", 1.00 ," 1,080.00 "," 1,080.00 ", -   ," 1,080.00 ", 525.00 , 525.00 , 555.00 ,51%
Personal,DR 024135,21/02/2024,CARDIZAR 50MG, 1.00 , 180.00 , 180.00 , -   , 180.00 , 120.00 , 120.00 , 60.00 ,33%
Admin,DR 024136,23/02/2024,FERGLOBIN FA 60MG/400MCG CAP, 7.00 , 642.86 ," 4,500.02 ", -   ," 4,500.02 ", 325.00 ," 2,275.00 "," 2,225.02 ",49%
Admin,DR 024136,23/02/2024,SOLVAPRINE 10MG TAB, 14.00 , 671.43 ," 9,400.02 ", -   ," 9,400.02 ", 150.00 ," 2,100.00 "," 7,300.02 ",78%
Admin,DR 024136,23/02/2024,HAEMOREX 500MG CAP, 3.00 ," 1,500.00 "," 4,500.00 ", -   ," 4,500.00 ", 430.00 ," 1,290.00 "," 3,210.00 ",71%
Admin,DR 024137,01/03/2024,CIUMADE TAB, 7.00 , 678.57 ," 4,749.99 ", -   ," 4,749.99 ", 450.00 ," 3,150.00 "," 1,599.99 ",34%
Admin,DR 024137,01/03/2024,SANOMAX - FA, 7.00 , 857.14 ," 5,999.98 ", -   ," 5,999.98 ", 560.00 ," 3,920.00 "," 2,079.98 ",35%
Admin,DR 024137,01/03/2024,SOLVAPRINE 10MG, 7.00 , 671.43 ," 4,700.01 ", -   ," 4,700.01 ", 150.00 ," 1,050.00 "," 3,650.01 ",78%
Admin,DR 024137,01/03/2024,ENCLOXIL 500MG, 7.00 ," 1,392.86 "," 9,750.02 ", -   ," 9,750.02 ", 780.00 ," 5,460.00 "," 4,290.02 ",44%
Admin,DR 024137,01/03/2024,BENERVA PLUS 500MG/50MG/100MG/100MCG, 2.00 ," 1,708.00 "," 3,416.00 ", -   ," 3,416.00 ", 615.00 ," 1,230.00 "," 2,186.00 ",64%
Admin,DR 024137,01/03/2024,HAEMOREX 500MG CAP, 2.00 ," 1,500.00 "," 3,000.00 ", -   ," 3,000.00 ", 430.00 , 860.00 ," 2,140.00 ",71%
