canonical_sku,region,period,quantity,source_rows,observation_status,in_evaluation_window
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2022-04,11.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2022-05,10.0,1,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2022-06,19.0,4,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2022-07,46.0,10,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2022-08,12.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2022-09,15.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2022-10,10.0,1,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2022-11,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2022-12,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2023-01,10.0,1,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2023-02,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2023-03,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2023-04,5.0,1,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2023-05,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,Bicol,2023-06,23.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2017-03,4.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2017-04,3.0,1,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2017-05,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2017-06,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2017-07,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2017-08,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2017-09,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2017-10,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2017-11,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2017-12,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2018-01,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2018-02,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2018-03,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2018-04,12.0,3,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2018-05,18.0,4,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2018-06,9.0,3,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2018-07,1.0,1,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2018-08,8.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2018-09,8.0,3,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2018-10,6.0,3,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2018-11,4.0,1,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2018-12,6.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2019-01,8.0,3,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2019-02,10.84,4,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2019-03,7.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2019-04,4.0,1,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2019-05,9.0,3,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2019-06,11.0,3,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2019-07,9.0,4,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2019-08,4.0,1,observed,False
