MEDSHIELD PHARMA CORP,,,,,,,,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,,,,,,,,
AS OF DECEMBER 2018,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DRNumber,DRDate,SalesRep,Product,Qty,CP/UNIT,TOTAL CP,Discount,NET CP,TP/UNIT,Total TP,Net Income,,,,,,,,
17127,2018-06-18,Laguna,ZAFEX 500mg,2,2100,4200,0,4200,1450,2900,1300,,,,,,,,
17128,2018-06-27,Laguna,CORT 20MG,2,600,1200,0,1200,220,440,760,,,,,,,,
17128,2018-06-27,Laguna,SAPHROXOL 75MG,3,1100,3300,0,3300,555,1665,1635,,,,,,,,
17129,2018-06-27,Laguna,NICTRAM 50mg/ml,1,1400,1400,0,1400,90,90,1310,,,,,,,,
17130,2018-06-29,Laguna,SODAMPEN 1g IM/IV,20,128,2560,0,2560,40,800,1760,,,,,,,,
17131,2018-06-29,Laguna,EUROXONE 1g,40,190,7600,0,7600,73,2920,4680,,,,,,,,
17131,2018-06-29,Laguna,ZAFEX 500mg,2,2100,4200,0,4200,1450,2900,1300,,,,,,,,
17132,2018-07-02,Laguna,NICTRAM 50mg/ml,1,1400,1400,0,1400,90,90,1310,,,,,,,,
17132,2018-07-02,Laguna,CEFEXIL 250mg/5ml,6,198,1188,0,1188,65,390,798,,,,,,,,
17132,2018-07-02,Laguna,OMCARE 40mg,0.5,2550,1275,0,1275,450,225,1050,,,,,,,,
17133,2018-07-02,Laguna,ZAFEX 500mg,2,2100,4200,0,4200,1450,2900,1300,,,,,,,,
17133,2018-07-02,Laguna,EUROXONE 1g,40,190,7600,0,7600,73,2920,4680,,,,,,,,
17134,2018-07-04,Laguna,ENCLOXIL 500mg,4,1800,7200,0,7200,540,2160,5040,,,,,,,,
17135,2018-07-04,Laguna,SODAMPEN 1g IM/IV,10,128,1280,0,1280,40,400,880,,,,,,,,
17136,2018-07-06,Laguna,EUROXONE 1g,40,190,7600,0,7600,73,2920,4680,,,,,,,,
17137,2018-07-09,Laguna,NICTRAM 50mg/ml,1,1400,1400,0,1400,90,90,1310,,,,,,,,
17138,2018-07-09,Laguna,EUROXONE 1g,40,190,7600,0,7600,73,2920,4680,,,,,,,,
17138,2018-07-09,Laguna,ZAFEX 500mg,2,2100,4200,0,4200,1450,2900,1300,,,,,,,,
17138,2018-07-09,Laguna,CIFROX 500mg,2,1125,2250,0,2250,450,900,1350,,,,,,,,
17139,2018-07-12,Laguna,AMPICELO 500mg,2,580,1160,0,1160,125,250,910,,,,,,,,
17140,2018-07-16,Laguna,ZAFEX 500mg,2,2100,4200,0,4200,1450,2900,1300,,,,,,,,
17140,2018-07-16,Laguna,EUROXONE 1g,40,190,7600,0,7600,73,2920,4680,,,,,,,,
17141,2018-07-16,Laguna,ROSEMIDE 10mg,1,824,824,0,824,70.8,70.8,753.2,,,,,,,,
17141,2018-07-16,Laguna,K-LYTE 600mg,1,1600,1600,0,1600,795,795,805,,,,,,,,
17142,2018-07-18,Laguna,SODAMPEN 1g IM/IV,20,128,2560,0,2560,40,800,1760,,,,,,,,
17143,2018-07-26,Laguna,OMCARE 40mg,0.6,2550,1530,0,1530,390,234,1296,,,,,,,,
17143,2018-07-26,Laguna,CEFEXIL 250mg/5ml,6,198,1188,0,1188,65,390,798,,,,,,,,
17143,2018-07-26,Laguna,NICTRAM 50mg/ml,1,1400,1400,0,1400,90,90,1310,,,,,,,,
17146,2018-08-02,Laguna,LACTAMOX 500mg/125mg,1,2800,2800,0,2800,1174,1174,1626,,,,,,,,
17146,2018-08-02,Laguna,CLAXIC 250mg/62.5mg/5ml,10,300,3000,0,3000,130,1300,1700,,,,,,,,
171476,2018-08-02,Laguna,CLAXIC 250mg/62.5mg/5ml,10,300,3000,0,3000,130,1300,1700,,,,,,,,
171476,2018-08-02,Laguna,LACTAMOX 500mg/125mg,1,2800,2800,0,2800,1174,1174,1626,,,,,,,,
17148,2018-08-08,Laguna,NICTRAM 50mg/ml,1,1400,1400,0,1400,90,90,1310,,,,,,,,
17148,2018-08-08,Laguna,CEFEXIL 250mg/5ml,6,198,1188,0,1188,65,390,798,,,,,,,,
17148,2018-08-08,Laguna,OMCARE 40mg,1,2550,2550,0,2550,390,390,2160,,,,,,,,
17149,2018-08-09,Laguna,CIFROX 500mg,1,1750,1750,0,1750,450,450,1300,,,,,,,,
17149,2018-08-09,Laguna,ZYROVA,1,1100,1100,0,1100,650,650,450,,,,,,,,
17149,2018-08-09,Laguna,ARTAL-H 50mg/12.5mg,1,2200,2200,0,2200,198,198,2002,,,,,,,,
17149,2018-08-09,Laguna,C-ZETT 600mg,1,600,600,0,600,170,170,430,,,,,,,,
17351,2018-08-14,Laguna,CEPROTRON 500mg,2,1250,2500,0,2500,415,830,1670,,,,,,,,
17351,2018-08-14,Laguna,EUROXONE 1g,40,190,7600,0,7600,73,2920,4680,,,,,,,,
17351,2018-08-14,Laguna,ZAFEX 500mg,2,2100,4200,0,4200,1450,2900,1300,,,,,,,,
