MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2019,,,,,,,,,,,,
,,,,,,,,,,,,
DRNumber,DRDate,AREA,Product,Qty,ContractPrice,TOTAL CP,Discount,TotalCP,TransferPrice,Total TP,Net Income,
14499,2018-11-19,Admin,AFFORVIT,3,304.5,913.5,0,913.5,203,609,304.5,
14500,2018-11-12,Admin,CORSTAPH 500mg,7,1500,10500,0,10500,435,3045,7455,
14500,2018-11-12,Admin,DUOTRAM 325mg,7,1980,13860,0,13860,,,13860,
14500,2018-11-12,Admin,FERGLOBIN 250mg,7,725,5075,0,5075,215,1505,3570,
14500,2018-11-12,Admin,Isoprine 10mg,7,940,6580,0,6580,215,1505,5075,
14772,2018-03-10,Hospital,EVAPROST 125mcg/ml,1,3240,3240,0,3240,1872,1872,1368,
14775,2018-04-11,Laguna,EVAPROST 125mcg/ml,4,4800,19200,0,19200,1872,7488,11712,
14776,2018-05-11,Hospital,ANTIZOAL 5mg/ml,100,120,12000,0,12000,14.966666666666667,1496.6666666666667,10503.333333333334,
14777 / SI2022,2018-12-12,Hospital,ANTIZOAL 5mg/ml,100,120,12000,0,12000,14.966666666666667,1496.6666666666667,10503.333333333334,
15464,2018-03-01,Albay,VITACORE 100mg,5,1500,7500,0,7500,200,1000,6500,
15465,2018-03-02,Albay,Alvica Trauma Recovery Gel Ice,2,368,736,0,736,98.54,197.08,538.92,
15466,2018-03-06,Albay,MULTI GROW 120ml,10,288,2880,0,2880,80,800,2080,
15467,2018-03-07,Albay,XYNETIN 1500mg/200iu,6,325,1950,0,1950,310,1860,90,
15472,2018-03-22,Albay,SUSTACHLOR 125mg/5ml,6,117.6,705.5999999999999,0,705.5999999999999,46.79,280.74,424.8599999999999,
15474,2018-04-03,Albay,OMEBLOC-20 20mg,2,290,580,0,580,,,580,
15475,2018-04-06,Albay,OMEBLOC-20 20mg,3,290,870,0,870,,,870,
15478,2018-04-03,Albay,SUPMAC 500mg,5,108,540,0,540,,,540,
15479,2018-04-03,Albay,SUPMAC 500mg,10,108,1080,0,1080,,,1080,
15479,2018-04-03,Albay,CINNARIGO 25MG,2,198,396,0,396,64,128,268,
