MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2017,,,,,,,,,,,,
,,,,,,,,,,,,
DR,DATE,AREA,PRODUCT,GROSS SALES,UNIT PRICE,GROSS,DISCOUNT,,QTY,TP,TOTAL,NET INCOME
,,,,,,,%,AMOUNT,,,,
12791,2017-05-12,LAGUNA,#REF!,2,2100,4200,,0,2,1450,2900,1300
12791,2017-05-12,LAGUNA,#REF!,2,1225,2450,,0,2,415,830,1620
12792,2017-05-18,LAGUNA,#REF!,60,380,22800,,0,60,45,2700,20100
12792,2017-05-18,LAGUNA,#REF!,50,264,13200,,0,50,73,3650,9550
12792,2017-05-18,LAGUNA,#REF!,10,95,950,,0,10,24,240,710
12792,2017-05-18,LAGUNA,#REF!,35,110,3850,,0,35,40,1400,2450
12792,2017-05-18,LAGUNA,#REF!,10,2200,22000,,0,10,706,7060,14940
12793,2017-05-19,LAGUNA,#REF!,2,1900,3800,,0,2,595,1190,2610
12793,2017-05-19,LAGUNA,#REF!,2,1425,2850,,0,2,445,890,1960
12794,2017-05-19,LAGUNA,#REF!,2,1500,3000,,0,2,445,890,2110
12794,2017-05-19,LAGUNA,#REF!,2,805,1610,,0,2,210,420,1190
12794,2017-05-19,LAGUNA,#REF!,2,682,1364,,0,2,202.5,405,959
12795,2017-05-19,LAGUNA,#REF!,2,1400,2800,,0,2,900,1800,1000
12796,2017-05-18,LAGUNA,#REF!,1,800,800,,0,1,100,100,700
12797,2017-05-22,LAGUNA,#REF!,40,190,7600,,0,40,73,2920,4680
12797,2017-05-22,LAGUNA,#REF!,2,2100,4200,,0,2,1450,2900,1300
12797,2017-05-22,LAGUNA,#REF!,2,1225,2450,,0,2,415,830,1620
12798,2017-05-23,LAGUNA,#REF!,10,120,1200,,0,10,25,250,950
12799,2017-05-23,LAGUNA,#REF!,20,320,6400,,0,20,45,900,5500
12800,2017-05-29,LAGUNA,#REF!,40,190,7600,,0,40,73,2920,4680
12865,2017-05-04,MARINDUQUE,#REF!,5,975,4875,,0,5,307,1535,3340
12866,2017-05-04,MARINDUQUE,#REF!,2,1800,3600,,0,2,535,1070,2530
12867,2017-05-05,QUEZON,#REF!,12,180,2160,0.3,648,12,48,576,936
12868,2017-05-05,QUEZON,#REF!,10,1100,11000,,0,10,307,3070,7930
12869,2017-05-05,QUEZON,#REF!,8,750,6000,,0,8,202.5,1620,4380
12870,2017-05-09,QUEZON,#REF!,10,190,1900,,0,10,75,750,1150
12870,2017-05-09,QUEZON,#REF!,10,175,1750,,0,10,48,480,1270
12870,2017-05-09,QUEZON,#REF!,,,0,,0,0,,0,0
12871,2017-05-10,QUEZON,#REF!,12,198,2376,,0,12,65,780,1596
12871,2017-05-10,QUEZON,#REF!,1,1800,1800,,0,1,550,550,1250
12872,2017-05-10,QUEZON,#REF!,4,500,2000,,0,4,133,532,1468
12872,2017-05-10,QUEZON,#REF!,2,900,1800,,0,2,240,480,1320
12873,2017-05-10,QUEZON,#REF!,20,750,15000,,0,20,219,4380,10620
12874,2017-05-25,MARINDUQUE,#REF!,2,1400,2800,,0,2,420,840,1960
12875,2017-05-25,MARINDUQUE,#REF!,10,500,5000,,0,10,158,1580,3420
12876,2017-05-25,MARINDUQUE,#REF!,24,112,2688,,0,24,35,840,1848
12877,2017-05-21,QUEZON,#REF!,10,750,7500,,0,10,202.5,2025,5475
12903,2017-05-02,CAVITE,#REF!,10,1980,19800,0.4,7920,10,500,5000,6880
12903,2017-05-02,CAVITE,#REF!,5,1950,9750,0.4,3900,5,630,3150,2700
12904,2017-05-22,CAVITE,#REF!,10,1980,19800,0.4,7920,10,500,5000,6880
12904,2017-05-22,CAVITE,#REF!,5,1950,9750,0.4,3900,5,630,3150,2700
12905,2017-05-22,CAVITE,#REF!,2,1150,2300,,0,2,345,690,1610
12906,2017-05-23,CAVITE,#REF!,2,1320,2640,0.3,792,2,200,400,1448
12906,2017-05-23,CAVITE,#REF!,3,750,2250,0.3,675,3,225,675,900
12907,2017-05-22,CAVITE,#REF!,2,1425,2850,,,2,445,890,1960
12907,2017-05-22,CAVITE,#REF!,2,1120,2240,,,2,330,660,1580
12908,2017-05-22,CAVITE,#REF!,2,2000,4000,,,2,750,1500,2500
12908,2017-05-22,CAVITE,#REF!,3,950,2850,,,3,287.5,862.5,1987.5
12909,2017-06-02,CAVITE,#REF!,2,1500,3000,0.3,900,2,435,870,1230
12910,2017-06-02,CAVITE,#REF!,1,3000,3000,,0,1,1450,1450,1550
12951,2017-05-19,LAGUNA,#REF!,2,1400,2800,,0,2,90,180,2620
12979,2017-04-29,HOSPITAL,#REF!,2,3960,7920,,0,2,1872,3744,4176
12979,2017-04-29,HOSPITAL,#REF!,2,7920,15840,,0,2,3575,7150,8690
12979,2017-04-29,HOSPITAL,#REF!,1,1950,1950,,0,1,685,685,1265
12979,2017-04-29,HOSPITAL,#REF!,2,1550,3100,,0,2,480.9,961.8,2138.2
12979,2017-04-29,HOSPITAL,#REF!,5,800,4000,,0,5,100,500,3500
12979,2017-04-29,HOSPITAL,#REF!,3,2450,7350,,0,3,880.91,2642.73,4707.27
12979,2017-04-29,HOSPITAL,#REF!,1,1900,1900,,0,1,595,595,1305
12981,2017-05-03,ADMIN,#REF!,5,1200,6000,,0,7,420,2940,3060
12981,2017-05-03,ADMIN,#REF!,5,950,4750,,0,7,310,2170,2580
12984,2017-05-08,ADMIN,#REF!,2,2100,4200,0.3,1260,2,685,1370,1570
12984,2017-05-08,ADMIN,#REF!,2,650,1300,0.3,390,2,35,70,840
12984,2017-05-08,ADMIN,#REF!,1,3800,3800,0.3,1140,1,890,890,1770
12985,2017-05-08,ADMIN,#REF!,5,1200,6000,,0,7,420,2940,3060
12985,2017-05-08,ADMIN,#REF!,5,950,4750,,0,7,310,2170,2580
12986,2017-05-11,ADMIN,#REF!,1,1830,1830,,0,2,323.4,646.8,1183.2
12987,2017-05-11,ADMIN,#REF!,1,198,198,,0,2,68,136,62
12987,2017-05-11,ADMIN,#REF!,1,80,80,,0,2,24.47,48.94,31.060000000000002
12988,2017-05-11,ADMIN,#REF!,1,80,80,,0,2,24.47,48.94,31.060000000000002
12989,2017-05-12,ADMIN,#REF!,10,1100,11000,,0,14,318.4,4457.599999999999,6542.400000000001
12989,2017-05-12,ADMIN,#REF!,5,1750,8750,,0,7,500,3500,5250
12989,2017-05-12,ADMIN,#REF!,5,3000,15000,,0,7,1450,10150,4850
12990,2017-05-16,HOSPITAL,#REF!,1,700,700,,0,1,235,235,465
12990,2017-05-16,HOSPITAL,#REF!,4,2800,11200,,0,4,1173.6,4694.4,6505.6
12990,2017-05-16,HOSPITAL,#REF!,50,128,6400,,0,50,45,2250,4150
