period,product,territory,row_count,unique_products,unique_dr_numbers,estimated_rows,quantity,total_trade_price,net_income,net_cost,discount,total_cost
2021-02,DULAX 3.35MG,Camarines Norte,2,1,2,0,20.0,1900.0,2700.0,4600.0,0.0,4600.0
2021-02,EPIX BY 10'S,Cavite,1,1,1,0,10.0,1750.0,6850.0,8600.0,0.0,8600.0
2021-02,EPIX BY 10'S,Quezon,1,1,1,0,20.0,3500.0,12100.0,15600.0,0.0,15600.0
2021-02,FERGLOBIN 250MG,Quezon,1,1,1,0,5.0,1625.0,2000.0,3625.0,0.0,3625.0
2021-02,FOLACID 5MG,Quezon,1,1,1,0,2.0,393.76,469.24,863.0,0.0,863.0
2021-02,GLOVEDOL 6.25MG,Quezon,2,1,2,0,62.0,2294.0,27526.0,29820.0,0.0,29820.0
2021-02,HISTARIL 1MG/50MG/5ML SYR,Camarines Sur,1,1,1,0,2.0,44.6,1555.4,1600.0,0.0,1600.0
2021-02,HIVENT 1MG/2.5ML,Cavite,1,1,1,0,1.0,287.0,500.5,787.5,0.0,787.5
2021-02,HYCLENS GARGLE (120ML),Quezon,1,1,1,0,6.0,528.0,714.36,1242.36,0.0,1242.36
2021-02,HYCLENS GARGLE (60ML),Cavite,2,1,2,0,18.0,1170.0,2898.0,4068.0,522.0,4590.0
2021-02,HYCLENS GARGLE (60ML),Quezon,1,1,1,0,6.0,390.0,527.64,917.64,0.0,917.64
2021-02,HYCLENS WOUND SPRAY (60ML),Quezon,1,1,1,0,6.0,687.96,930.78,1618.74,0.0,1618.74
2021-02,HYCLENS WOUND SPRAY 1GALLON,Cavite,2,1,2,0,8.0,11793.6,11793.6,23587.2,0.0,23587.2
2021-02,HYPHEN 50MG,Cavite,1,1,1,0,3.0,681.81,2130.69,2812.5,0.0,2812.5
2021-02,ISORANE 100% V/V 100ML,Camarines Norte,2,1,2,0,8.0,13600.0,29900.0,43500.0,0.0,43500.0
2021-02,JAGA 300MG/100MG/100MCG,Camarines Sur,1,1,1,0,2.0,1060.0,2140.0,3200.0,0.0,3200.0
2021-02,JAGAPLEX SYR 120ML,Camarines Sur,3,1,3,0,84.0,4523.4,2326.6,6850.0,0.0,6850.0
2021-02,LACTAMOX 125MG/31.25MG/5ML,Camarines Sur,1,1,1,0,24.0,2247.12,1472.88,3720.0,0.0,3720.0
2021-02,LACTAMOX 250MG/62.5MG/5ML,Camarines Sur,1,1,1,0,24.0,3112.8,2287.2,5400.0,0.0,5400.0
2021-02,LACTAMOX 500MG/125MG TAB,Batangas,2,1,2,0,5.0,5239.3,9760.7,15000.0,0.0,15000.0
2021-02,LACTAMOX 500MG/125MG TAB,Camarines Sur,1,1,1,0,2.0,2095.72,5534.28,7630.0,0.0,7630.0
2021-02,LOCETIN 5MG,Batangas,1,1,1,0,2.0,520.0,5080.0,5600.0,0.0,5600.0
2021-02,MAXXIVIT PLUS,Quezon,1,1,1,0,10.0,5600.0,8400.0,14000.0,0.0,14000.0
2021-02,MERAZOL 40MG,Cavite,4,1,4,0,17.0,4250.0,29850.0,34100.0,0.0,34100.0
2021-02,METMIC 500MG,Batangas,1,1,1,0,3.0,682.5,1567.5,2250.0,0.0,2250.0
2021-02,METMIC 500MG,Camarines Norte,1,1,1,0,9.0,2047.5,4702.5,6750.0,0.0,6750.0
2021-02,MULTI GROW 120ML,Quezon,1,1,1,0,20.0,1800.0,1560.0,3360.0,1440.0,4800.0
2021-02,MULTI GROW OB PLUS,Quezon,1,1,1,0,3.0,1575.0,2775.0,4350.0,0.0,4350.0
2021-02,RANICLAV 625MG,Laguna,2,1,1,0,11.0,2178.0,3646.0,5824.0,0.0,5824.0
2021-02,RESPINAL 500MG,Camarines Norte,1,1,1,0,7.0,2975.0,7525.0,10500.0,0.0,10500.0
2021-02,SAPHLECOX 200MG,Cavite,1,1,1,0,3.0,498.0,3687.0,4185.0,0.0,4185.0
2021-02,SITIXON 1G,Cavite,1,1,1,0,40.0,1200.0,10200.0,11400.0,3800.0,15200.0
2021-02,SOLUNATE 84MG/ML (8.4%),Camarines Norte,3,1,3,0,0.8,3680.0,5920.0,9600.0,0.0,9600.0
2021-02,TRIVASC 35MG MR,Quezon,7,1,7,0,123.0,53812.5,91987.5,145800.0,18900.0,164700.0
