period,territory,row_count,unique_products,unique_dr_numbers,estimated_rows,quantity,total_trade_price,net_income,net_cost,discount,total_cost
2018-04,Camarines Norte,100,37,25,0,313.56,85868.64,138545.37,112207.0,0.0,224414.0
2018-04,Camarines Sur,126,40,43,0,771.04,82886.21,158880.19,120516.0,0.0,241032.0
2018-04,Cavite,26,14,10,0,520.0,75932.65,117017.35,96475.0,1800.0,193850.0
2018-04,Laguna,165,64,20,0,2993.6,548676.12,1230420.68,879948.4,0.0,1779096.8
2018-04,Marinduque,33,26,8,0,300.11,50846.64,86760.15,0.0,14803.2,137606.79
2018-04,Quezon,209,74,51,0,2139.9833,302767.84,617738.54,524576.29,61198.2,954875.99
2018-05,Batangas,94,40,45,0,598.0,104733.62,282150.38,193442.0,2288.0,388028.0
2018-05,Camarines Norte,114,46,18,0,285.6,74129.92,178205.28,126167.6,0.0,252335.2
2018-05,Camarines Sur,142,43,44,0,789.96,98692.7,184963.0,141606.0,1960.0,284192.0
2018-05,Cavite,44,22,15,0,708.0,143214.83,217125.17,180170.0,16461.0,368570.5
2018-05,Laguna,239,79,25,0,4918.0,557573.43,1913500.59,1223987.0,0.0,2456974.0
2018-05,Marinduque,14,11,7,0,300.0,26316.82,32335.78,0.0,11409.4,58652.6
2018-05,Quezon,136,59,37,0,1456.0,156504.84,292633.86,253895.64,49472.8,479579.78
2018-06,Batangas,152,66,53,0,2134.0,295378.76,1191459.04,743418.9,1695.0,1487685.3
2018-06,Camarines Norte,72,34,17,0,286.8,66975.58,151156.9,109066.24,450.0,218357.48
2018-06,Camarines Sur,154,38,55,0,964.0,114239.58,194116.93,153987.0,4890.0,310419.0
2018-06,Cavite,24,12,8,0,418.0,34215.94,76904.06,55560.0,5040.0,113640.0
2018-06,Laguna,70,23,17,0,868.0,103365.17,217233.63,160299.4,0.0,320598.8
2018-06,Marinduque,26,22,11,0,350.0,57735.28,105840.97,0.0,7546.75,163576.25
2018-06,Quezon,132,60,37,0,1259.0,174839.56,381460.69,374953.75,19175.75,569661.5
2018-07,Batangas,118,41,47,0,1046.0,122018.23,322908.99,222463.6,550.8,445202.6
2018-07,Camarines Norte,75,29,30,0,313.2,264836.21,600765.79,432651.0,0.0,865602.0
2018-07,Camarines Sur,168,42,54,0,848.0,115420.02,191397.98,150794.0,5680.0,309046.0
2018-07,Cavite,14,8,6,0,262.0,21157.55,1154183.13,587670.34,3780.0,1177230.68
2018-07,Laguna,42,12,12,0,444.2,48532.73,89977.27,69255.0,0.0,138510.0
2018-07,Marinduque,38,30,10,0,420.0,56111.94,99931.66,0.0,11525.4,156043.6
2018-07,Quezon,160,64,41,0,1562.0,216888.79,412333.61,392633.0,71540.6,670755.4
2018-08,Batangas,164,54,59,0,1175.0,191889.68,444884.32,326389.5,1803.0,637675.5
2018-08,Camarines Norte,108,42,38,0,419.2,238679.4,436807.32,351591.36,7293.12,681020.28
2018-08,Camarines Sur,105,30,33,0,786.3,86274.93,151571.88,116034.0,1800.0,238196.0
2018-08,Cavite,18,10,8,0,436.0,48508.13,79478.27,63993.2,6900.0,131436.4
2018-08,Laguna,118,56,14,0,1726.6,147294.16,431646.95,292230.0,0.0,578660.0
2018-08,Marinduque,21,19,11,0,168.0,59220.5,76687.68,0.0,41581.82,135908.18
2018-08,Quezon,159,64,43,0,1316.0,204935.05,354011.13,347427.18,64631.82,612053.0
2018-09,Batangas,174,54,80,0,3718.0,414057.46,963209.77,688633.6,0.0,1377267.2
2018-09,Camarines Norte,157,65,54,0,886.0,250756.22,663036.28,505714.5,12718.5,926511.0
2018-09,Camarines Sur,150,42,43,0,734.5,233899.11,436729.69,335039.0,750.0,670453.0
2018-09,Cavite,38,20,15,0,782.0,61496.57,115260.91,88378.74,15996.0,184755.48
2018-09,Laguna,96,38,16,0,768.0,126672.11,328935.89,227804.0,0.0,455608.0
2018-09,Marinduque,13,11,5,0,105.0,31116.9,49134.7,0.0,8955.4,80251.6
2018-09,Quezon,110,55,32,0,1073.0,158709.77,344722.77,297691.07,35542.38,525681.43
2018-10,Batangas,98,43,41,0,1108.0,187452.71,577391.31,382422.0,2004.0,765846.0
2018-10,Camarines Norte,134,56,61,0,915.4,441105.38,1165162.32,852532.7,34099.8,1632567.5
2018-10,Camarines Sur,125,40,41,0,803.8,204994.95,392955.07,298250.0,5256.0,600578.0
2018-10,Cavite,26,19,9,0,940.0,90270.49,150782.91,120526.7,21082.2,251594.5
