period,product,row_count,unique_products,unique_dr_numbers,estimated_rows,quantity,total_trade_price,net_income,net_cost,discount,total_cost
2017-01,CLAVIC 125MG/31.25MG/5ML,3,1,3,0,18.0,1360.8,1999.2,0.0,0.0,3360.0
2017-01,CLAVIC 250MG/62.5MG/5ML,2,1,2,0,36.0,4669.2,3390.8,0.0,0.0,8060.0
2017-01,CLAVIC 500MG,2,1,2,0,7.0,8215.2,11374.8,0.0,0.0,19590.0
2017-01,CLAXIC 125MG/31.25MG/5ML,1,1,1,0,30.0,2268.0,3432.0,0.0,0.0,5700.0
2017-01,CLAXIC 500MG,1,1,1,0,2.0,2347.2,3052.8,0.0,0.0,5400.0
2017-01,CORSTAPH 500MG,1,1,1,0,3.0,1305.0,4095.0,0.0,0.0,5400.0
2017-01,CORVI PLUS 1MG/50MG,2,1,2,0,17.0,663.0,1343.0,0.0,0.0,2006.0
2017-01,COZEC,5,1,5,0,82.0,6970.0,53930.0,0.0,0.1,62300.0
2017-01,DOLO-JAGA 500MG/50MG/100MG/100MCG,2,1,2,0,3.0,1442.7,3357.3,0.0,0.0,4800.0
2017-01,DOPACARE 250MG,3,1,3,0,9.0,5310.0,11190.0,0.0,0.0,16500.0
2017-01,ENCLOXIL 500MG,4,1,4,0,6.0,2260.0,8540.0,0.0,0.0,10800.0
2017-01,ENERGEL SOFTGEL,3,1,3,0,3.0,1650.0,3600.0,0.0,0.0,5250.0
2017-01,ERGOTEC 125MG,1,1,1,0,3.0,1500.0,4500.0,0.0,0.0,6000.0
2017-01,EUROGYL 500MG,2,1,2,0,1020.0,23460.0,116940.0,0.0,0.0,140400.0
2017-01,EUROXIME 500MG,11,1,11,0,28.0,40600.0,37400.0,0.0,0.0,78000.0
2017-01,EUROXONE,10,1,9,0,289.0,21097.0,42995.0,0.0,0.0,63800.0
2017-01,EVAPROST 125,4,1,4,0,10.0,18720.0,25080.0,0.0,0.0,43800.0
2017-01,EVAPROST 250,1,1,1,0,2.0,7150.0,8690.0,0.0,0.0,15840.0
