territory,period,prior_period,quantity,revenue,prior_quantity,prior_revenue,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
Camarines Sur,2018-06,2017-06,482.0,55098.66,486.0,61236.64,-0.00823,-0.100234,False
Cavite,2018-06,2017-06,209.0,16857.94,64.0,30859.42,2.265625,-0.453718,False
Laguna,2018-06,2017-06,434.0,43443.37,1986.0,160559.33,-0.78147,-0.729425,False
Marinduque,2018-06,2017-06,350.0,57735.28,,,,,False
Quezon,2018-06,2017-06,354.0,43452.92,,,,,False
Batangas,2018-07,2017-07,523.0,54121.95,11274.82,742177.94,-0.953613,-0.927077,False
Camarines Norte,2018-07,2017-07,158.1,69009.21,1245.4,106892.11,-0.873053,-0.354403,False
Camarines Sur,2018-07,2017-07,429.0,56857.62,557.0,61394.57,-0.229803,-0.073898,False
Cavite,2018-07,2017-07,131.0,9050.55,118.0,20253.03,0.110169,-0.553126,False
Laguna,2018-07,2017-07,222.1,21267.93,1984.0,148300.02,-0.888054,-0.856588,False
Marinduque,2018-07,2017-07,420.0,56111.94,174.0,17619.8,1.413793,2.184596,False
Quezon,2018-07,2017-07,571.0,73973.79,133.0,41771.0,3.293233,0.770937,False
Batangas,2018-08,2017-08,578.0,80955.5,1832.2,335580.37,-0.684532,-0.75876,False
Camarines Norte,2018-08,2017-08,178.6,111802.78,1695.0,63462.81,-0.894631,0.761705,False
Camarines Sur,2018-08,2017-08,401.65,40862.08,575.9,73540.87,-0.30257,-0.444362,False
Cavite,2018-08,2017-08,218.0,28698.13,32.0,9106.56,5.8125,2.151369,False
Laguna,2018-08,2017-08,857.8,70038.0,677.1,113312.56,0.266873,-0.381904,False
Marinduque,2018-08,2017-08,168.0,59220.5,271.0,37561.12,-0.380074,0.576644,False
Quezon,2018-08,2017-08,574.0,66235.05,398.0,90047.57,0.442211,-0.264444,False
Batangas,2018-09,2017-09,1859.0,201817.19,5161.8,478229.65,-0.639854,-0.577991,False
Camarines Norte,2018-09,2017-09,232.0,76722.11,134.2,30278.66,0.728763,1.533867,False
Camarines Sur,2018-09,2017-09,362.75,72105.91,496.0,53084.79,-0.268649,0.358316,False
Cavite,2018-09,2017-09,391.0,29559.88,161.0,26248.7,1.428571,0.126146,False
Laguna,2018-09,2017-09,384.0,52063.41,298.0,38007.18,0.288591,0.369831,False
Marinduque,2018-09,2017-09,105.0,31116.9,163.0,57685.68,-0.355828,-0.460578,False
Quezon,2018-09,2017-09,438.0,54420.77,530.0,105238.34,-0.173585,-0.482881,False
Batangas,2018-10,2017-10,554.0,62689.62,1753.0,173993.46,-0.68397,-0.639701,False
Camarines Norte,2018-10,2017-10,279.4,112419.58,137.2,32026.6,1.036443,2.510194,False
Camarines Sur,2018-10,2017-10,402.4,62662.01,465.0,52550.9,-0.134624,0.192406,False
Cavite,2018-10,2017-10,470.0,45645.56,176.0,42282.12,1.670455,0.079548,False
Laguna,2018-10,2017-10,1362.6,103874.79,752.0,127367.15,0.811968,-0.184446,False
Marinduque,2018-10,2017-10,119.0,47412.34,429.0,51607.24,-0.722611,-0.081285,False
Quezon,2018-10,2017-10,612.0,84739.06,566.0,57447.65,0.081272,0.475066,False
Batangas,2018-11,2017-11,3166.41,450905.88,392.0,64921.34,7.077577,5.945419,False
Camarines Norte,2018-11,2017-11,560.1,105756.55,233.0,67901.04,1.403863,0.55751,False
Camarines Sur,2018-11,2017-11,574.0,84464.44,352.0,47047.88,0.630682,0.795287,False
Cavite,2018-11,2017-11,266.0,56756.9,328.5,44976.36,-0.190259,0.261927,False
Laguna,2018-11,2017-11,827.0,66117.66,1918.5,265186.4,-0.568934,-0.750675,False
Marinduque,2018-11,2017-11,640.0,48469.17,212.32,82884.91,2.014318,-0.415223,False
Quezon,2018-11,2017-11,448.0,53228.17,381.0,76382.13,0.175853,-0.303133,False
Batangas,2018-12,2017-12,615.0,50411.98,3233.0,349437.4,-0.809774,-0.855734,False
Camarines Norte,2018-12,2017-12,350.17,128532.36,149.8,41830.72,1.337583,2.072679,False
Camarines Sur,2018-12,2017-12,235.77,49560.71,274.0,41450.59,-0.139526,0.195658,False
Cavite,2018-12,2017-12,184.0,17579.42,162.0,19122.35,0.135802,-0.080687,False
Laguna,2018-12,2017-12,1002.0,94205.88,1432.0,207971.55,-0.300279,-0.547025,False
Marinduque,2018-12,2017-12,382.0,52001.87,236.0,49843.85,0.618644,0.043296,False
Quezon,2018-12,2017-12,314.0,61005.34,541.0,94415.0,-0.419593,-0.35386,False
Batangas,2019-01,2018-01,1728.0,119273.19,,,,,False
Camarines Norte,2019-01,2018-01,208.18,76769.61,,,,,False
Camarines Sur,2019-01,2018-01,528.0,57573.28,,,,,False
Cavite,2019-01,2018-01,468.0,30134.15,,,,,False
Laguna,2019-01,2018-01,803.0,86363.08,,,,,False
Marinduque,2019-01,2018-01,396.0,73378.44,,,,,False
Quezon,2019-01,2018-01,839.5,78441.28,,,,,False
Batangas,2019-02,2018-02,518.0,82281.63,,,,,False
Camarines Norte,2019-02,2018-02,181.6,57593.37,,,,,False
Camarines Sur,2019-02,2018-02,420.12,61163.0,,,,,False
Cavite,2019-02,2018-02,939.24,55052.77,,,,,False
Laguna,2019-02,2018-02,588.2,242316.27,,,,,False
Marinduque,2019-02,2018-02,138.0,11535.63,,,,,False
Quezon,2019-02,2018-02,739.0,83222.11,,,,,False
Batangas,2019-03,2018-03,1121.3,110056.27,1405.5,121989.18,-0.202206,-0.097819,False
Camarines Norte,2019-03,2018-03,62.0,12597.32,122.2,22606.34,-0.492635,-0.442753,False
Camarines Sur,2019-03,2018-03,577.0,110615.3,92.0,9321.02,5.271739,10.867296,False
Cavite,2019-03,2018-03,589.0,44703.91,274.0,28995.05,1.149635,0.541777,False
Laguna,2019-03,2018-03,1126.28,433971.92,1066.8,94477.51,0.055756,3.593389,False
Marinduque,2019-03,2018-03,651.0,65244.17,439.0,9805.96,0.482916,5.653522,False
Quezon,2019-03,2018-03,342.0,44323.31,326.0,29522.38,0.04908,0.501346,False
Batangas,2019-04,2018-04,637.46,104963.39,270.0,47796.69,1.360963,1.196039,False
Camarines Norte,2019-04,2018-04,348.6,79875.39,156.78,38529.04,1.223498,1.073122,False
Camarines Sur,2019-04,2018-04,360.0,70145.94,385.52,37509.33,-0.066196,0.870093,False
Cavite,2019-04,2018-04,725.0,73536.0,260.0,38257.65,1.788462,0.922125,False
Laguna,2019-04,2018-04,2009.3,173612.8,1485.3,241626.62,0.352791,-0.281483,False
Marinduque,2019-04,2018-04,237.12,42449.77,300.11,50846.64,-0.20989,-0.165141,False
