territory,period,prior_period,quantity,revenue,prior_quantity,prior_revenue,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
Camarines Sur,2021-07,2020-07,21.61,5377.42,51.0,27601.08,-0.576275,-0.805174,False
Cavite,2021-07,2020-07,120.0,36242.4,581.33,63768.09,-0.793577,-0.431653,False
Laguna,2021-07,2020-07,84.0,16030.0,,,,,False
Marinduque,2021-07,2020-07,125.0,28535.36,368.0,68926.09,-0.660326,-0.586001,False
Quezon,2021-07,2020-07,466.6,73339.56,351.0,98317.63,0.329345,-0.254055,False
Batangas,2021-08,2020-08,88.0,22005.5,182.0,44773.65,-0.516484,-0.508517,False
Camarines Norte,2021-08,2020-08,272.6,67683.0,,,,,False
Camarines Sur,2021-08,2020-08,99.0,8912.7,159.0,29398.11,-0.377358,-0.696827,False
Cavite,2021-08,2020-08,214.0,25721.4,474.0,50451.17,-0.548523,-0.490172,False
Marinduque,2021-08,2020-08,1046.0,108473.0,156.0,36193.83,5.705128,1.997003,False
Quezon,2021-08,2020-08,349.0,66838.95,46.0,15569.1,6.586957,3.293052,False
Batangas,2021-09,2020-09,145.0,55087.03,83.0,16488.72,0.746988,2.340892,False
Camarines Norte,2021-09,2020-09,164.2,38860.78,,,,,False
Camarines Sur,2021-09,2020-09,19.0,3846.35,,,,,False
Cavite,2021-09,2020-09,183.0,26269.51,479.0,60532.98,-0.617954,-0.56603,False
Quezon,2021-09,2020-09,434.0,88404.05,186.0,47585.5,1.333333,0.857794,False
Batangas,2021-10,2020-10,97.0,42776.6,55.0,16548.33,0.763636,1.58495,False
Camarines Norte,2021-10,2020-10,32.2,12900.0,457.6,156895.03,-0.929633,-0.917779,False
Camarines Sur,2021-10,2020-10,333.95,50395.3,287.64,63811.11,0.161,-0.210243,False
Cavite,2021-10,2020-10,324.0,57939.93,178.0,17102.67,0.820225,2.387771,False
Laguna,2021-10,2020-10,1031.0,678374.5,1445.67,140461.9,-0.286836,3.829598,False
Marinduque,2021-10,2020-10,234.0,196881.28,,,,,False
Quezon,2021-10,2020-10,354.0,85466.56,193.0,51804.39,0.834197,0.649794,False
Batangas,2021-11,2020-11,66.0,21727.5,234.0,67434.46,-0.717949,-0.677798,False
Camarines Norte,2021-11,2020-11,197.4,43631.05,85.8,37946.94,1.300699,0.149791,False
Camarines Sur,2021-11,2020-11,82.0,15559.3,,,,,False
Cavite,2021-11,2020-11,300.0,36897.72,220.0,36146.09,0.363636,0.020794,False
Marinduque,2021-11,2020-11,94.0,29794.22,91.0,27627.95,0.032967,0.078409,False
Quezon,2021-11,2020-11,520.0,117509.7,765.0,135286.27,-0.320261,-0.1314,False
Batangas,2021-12,2020-12,51.0,26146.51,49.0,13045.12,0.040816,1.004313,False
Camarines Norte,2021-12,2020-12,193.6,54192.5,,,,,False
Camarines Sur,2021-12,2020-12,136.0,28847.6,63.0,7060.25,1.15873,3.085918,False
Cavite,2021-12,2020-12,100.0,8916.35,167.33,68099.23,-0.402379,-0.869068,False
Laguna,2021-12,2020-12,27.0,4360.0,,,,,False
Quezon,2021-12,2020-12,405.0,66779.98,289.0,73657.62,0.401384,-0.093373,False
Batangas,2022-01,2021-01,73.0,30771.42,146.46,42423.05,-0.50157,-0.274653,False
Camarines Norte,2022-01,2021-01,132.0,33210.0,186.0,70748.79,-0.290323,-0.530593,False
Cavite,2022-01,2021-01,65.0,10130.12,77.0,10108.87,-0.155844,0.002102,False
Marinduque,2022-01,2021-01,196.0,35378.2,427.0,58463.16,-0.540984,-0.394863,False
Quezon,2022-01,2021-01,173.0,29482.77,318.0,85558.93,-0.455975,-0.65541,False
Batangas,2022-02,2021-02,236.0,64566.44,53.0,33088.23,3.45283,0.951342,False
Camarines Norte,2022-02,2021-02,291.0,90238.5,104.8,35773.3,1.776718,1.52251,False
Camarines Sur,2022-02,2021-02,137.0,16335.04,213.0,18600.52,-0.356808,-0.121797,False
Cavite,2022-02,2021-02,126.0,7248.62,265.0,43152.71,-0.524528,-0.832024,False
Marinduque,2022-02,2021-02,1915.0,1148703.0,,,,,False
Quezon,2022-02,2021-02,464.0,108626.09,415.0,96479.64,0.118072,0.125897,False
Batangas,2022-03,2021-03,154.0,50429.76,133.0,24660.25,0.157895,1.044982,False
Camarines Norte,2022-03,2021-03,238.0,76710.0,81.4,22503.0,1.923833,2.408879,False
Camarines Sur,2022-03,2021-03,517.3,67271.5,86.0,12357.8,5.015116,4.443647,False
Cavite,2022-03,2021-03,156.0,22507.75,32.0,3907.32,3.875,4.760406,False
Marinduque,2022-03,2021-03,86.0,184732.0,90.0,31623.9,-0.044444,4.841531,False
Quezon,2022-03,2021-03,494.0,113992.55,395.1,85721.76,0.250316,0.329797,False
Batangas,2022-04,2021-04,82.0,29092.9,53.0,12818.46,0.54717,1.26961,False
Camarines Norte,2022-04,2021-04,224.0,79843.0,231.4,49516.49,-0.031979,0.612453,False
Camarines Sur,2022-04,2021-04,134.44,20351.56,46.0,6415.6,1.922609,2.172199,False
Cavite,2022-04,2021-04,33.0,7024.12,137.4,30355.61,-0.759825,-0.768606,False
Laguna,2022-04,2021-04,45.67,7300.5,,,,,False
Marinduque,2022-04,2021-04,60.0,2790.0,,,,,False
Quezon,2022-04,2021-04,385.62,74398.47,245.0,45128.17,0.573959,0.648604,False
Batangas,2022-05,2021-05,146.0,59969.79,56.0,25043.77,1.607143,1.394599,False
Camarines Norte,2022-05,2021-05,154.0,40579.0,206.4,62297.6,-0.253876,-0.348627,False
Camarines Sur,2022-05,2021-05,100.0,22554.6,52.0,8318.42,0.923077,1.711404,False
Cavite,2022-05,2021-05,58.0,12094.5,59.0,15665.74,-0.016949,-0.227965,False
Marinduque,2022-05,2021-05,1963.0,277070.73,174.0,43200.62,10.281609,5.413582,False
Quezon,2022-05,2021-05,252.0,51162.2,621.0,139192.88,-0.594203,-0.632437,False
Batangas,2022-06,2021-06,152.0,46542.3,86.98,31919.08,0.747528,0.458134,False
Camarines Norte,2022-06,2021-06,198.0,31522.0,60.3,10792.5,2.283582,1.920732,False
Camarines Sur,2022-06,2021-06,168.0,37220.0,50.0,13632.7,2.36,1.7302,False
Cavite,2022-06,2021-06,162.0,29297.06,131.0,16336.23,0.236641,0.79338,False
Laguna,2022-06,2021-06,34.0,5208.0,,,,,False
Marinduque,2022-06,2021-06,212.0,36450.8,22.0,10849.66,8.636364,2.359626,False
Quezon,2022-06,2021-06,619.0,116733.01,189.0,45085.72,2.275132,1.589135,False
Batangas,2022-07,2021-07,236.0,94951.21,163.0,45070.62,0.447853,1.106721,False
Camarines Norte,2022-07,2021-07,331.0,97196.72,171.4,48750.0,0.931155,0.993779,False
Camarines Sur,2022-07,2021-07,353.0,68762.02,21.61,5377.42,15.33503,11.787177,False
Cavite,2022-07,2021-07,176.0,19926.68,120.0,36242.4,0.466667,-0.450183,False
Laguna,2022-07,2021-07,90.0,15550.0,84.0,16030.0,0.071429,-0.029944,False
Marinduque,2022-07,2021-07,465.0,101159.88,125.0,28535.36,2.72,2.545071,False
Quezon,2022-07,2021-07,320.0,74416.7,466.6,73339.56,-0.314188,0.014687,False
Batangas,2022-08,2021-08,365.0,157215.82,88.0,22005.5,3.147727,6.144388,False
Camarines Norte,2022-08,2021-08,154.0,35740.0,272.6,67683.0,-0.43507,-0.47195,False
Camarines Sur,2022-08,2021-08,61.0,17936.7,99.0,8912.7,-0.383838,1.012488,False
Cavite,2022-08,2021-08,129.0,30371.18,214.0,25721.4,-0.397196,0.180775,False
Marinduque,2022-08,2021-08,30.0,6351.92,1046.0,108473.0,-0.971319,-0.941442,False
Quezon,2022-08,2021-08,628.0,111461.94,349.0,66838.95,0.799427,0.66762,False
Batangas,2022-09,2021-09,283.0,60985.2,145.0,55087.03,0.951724,0.10707,False
Camarines Norte,2022-09,2021-09,120.0,25122.0,164.2,38860.78,-0.269184,-0.353538,False
Camarines Sur,2022-09,2021-09,164.0,15439.72,19.0,3846.35,7.631579,3.014122,False
Cavite,2022-09,2021-09,104.0,13363.04,183.0,26269.51,-0.431694,-0.49131,False
Marinduque,2022-09,2021-09,87.0,38720.42,,,,,False
Quezon,2022-09,2021-09,748.0,152968.57,434.0,88404.05,0.723502,0.730334,False
Batangas,2022-10,2021-10,515.0,148814.12,97.0,42776.6,4.309278,2.478867,False
Camarines Norte,2022-10,2021-10,214.0,48110.0,32.2,12900.0,5.645963,2.729457,False
Camarines Sur,2022-10,2021-10,103.0,19970.7,333.95,50395.3,-0.691571,-0.603719,False
Cavite,2022-10,2021-10,213.0,42969.03,324.0,57939.93,-0.342593,-0.258387,False
Marinduque,2022-10,2021-10,685.0,75899.32,234.0,196881.28,1.92735,-0.614492,False
Quezon,2022-10,2021-10,409.63,74955.15,354.0,85466.56,0.157147,-0.122989,False
Batangas,2022-11,2021-11,153.0,68118.94,66.0,21727.5,1.318182,2.135149,False
Camarines Norte,2022-11,2021-11,32.0,9730.0,197.4,43631.05,-0.837893,-0.776994,False
Cavite,2022-11,2021-11,134.0,11702.5,300.0,36897.72,-0.553333,-0.682839,False
Marinduque,2022-11,2021-11,118.0,30640.0,94.0,29794.22,0.255319,0.028387,False
Quezon,2022-11,2021-11,417.0,93906.35,520.0,117509.7,-0.198077,-0.200863,False
Batangas,2022-12,2021-12,170.0,74152.6,51.0,26146.51,2.333333,1.836042,False
Camarines Norte,2022-12,2021-12,270.0,51128.3,193.6,54192.5,0.394628,-0.056543,False
Camarines Sur,2022-12,2021-12,107.0,18006.0,136.0,28847.6,-0.213235,-0.375823,False
Cavite,2022-12,2021-12,134.0,12476.52,100.0,8916.35,0.34,0.399286,False
Marinduque,2022-12,2021-12,1941.0,372551.84,,,,,False
Quezon,2022-12,2021-12,785.0,162169.27,405.0,66779.98,0.938272,1.428411,False
Batangas,2023-01,2022-01,222.0,49596.7,73.0,30771.42,2.041096,0.611778,False
Camarines Norte,2023-01,2022-01,64.0,18220.0,132.0,33210.0,-0.515152,-0.45137,False
Camarines Sur,2023-01,2022-01,122.0,18795.2,,,,,False
Cavite,2023-01,2022-01,2.0,660.0,65.0,10130.12,-0.969231,-0.934848,False
Marinduque,2023-01,2022-01,3459.0,373566.0,196.0,35378.2,16.647959,9.559214,False
Quezon,2023-01,2022-01,465.0,95937.33,173.0,29482.77,1.687861,2.254013,False
Batangas,2023-02,2022-02,260.0,44736.67,236.0,64566.44,0.101695,-0.307122,False
Camarines Norte,2023-02,2022-02,47.39,9510.6,291.0,90238.5,-0.837148,-0.894606,False
Camarines Sur,2023-02,2022-02,67.2,10098.55,137.0,16335.04,-0.509489,-0.381786,False
Cavite,2023-02,2022-02,2.0,660.0,126.0,7248.62,-0.984127,-0.908948,False
Marinduque,2023-02,2022-02,123.0,21339.66,1915.0,1148703.0,-0.93577,-0.981423,False
Quezon,2023-02,2022-02,148.5,48530.38,464.0,108626.09,-0.679957,-0.553235,False
Batangas,2023-03,2022-03,534.4,70446.06,154.0,50429.76,2.47013,0.396914,False
Marinduque,2023-03,2022-03,123.0,40270.0,86.0,184732.0,0.430233,-0.782009,False
Quezon,2023-03,2022-03,462.0,102442.52,494.0,113992.55,-0.064777,-0.101323,False
Batangas,2023-04,2022-04,213.1,63972.84,82.0,29092.9,1.59878,1.198916,False
Camarines Sur,2023-04,2022-04,5.0,3075.0,134.44,20351.56,-0.962809,-0.848906,False
Cavite,2023-04,2022-04,54.0,14892.96,33.0,7024.12,0.636364,1.12026,False
Laguna,2023-04,2022-04,2.0,3744.0,45.67,7300.5,-0.956208,-0.487158,False
Marinduque,2023-04,2022-04,111.0,21408.84,60.0,2790.0,0.85,6.673419,False
Quezon,2023-04,2022-04,535.3,79025.5,385.62,74398.47,0.388154,0.062193,False
Batangas,2023-05,2022-05,287.0,95835.07,146.0,59969.79,0.965753,0.598056,False
Marinduque,2023-05,2022-05,24.0,1308.0,1963.0,277070.73,-0.987774,-0.995279,False
Quezon,2023-05,2022-05,921.0,238240.89,252.0,51162.2,2.654762,3.65658,False
Batangas,2023-06,2022-06,3367.4,663129.73,152.0,46542.3,21.153947,13.247893,False
Camarines Norte,2023-06,2022-06,954.49,436898.0,198.0,31522.0,3.820657,12.860098,False
Camarines Sur,2023-06,2022-06,222.8,41095.49,168.0,37220.0,0.32619,0.104124,False
Cavite,2023-06,2022-06,910.3,271107.05,162.0,29297.06,4.619136,8.253729,False
Laguna,2023-06,2022-06,33.75,92438.0,34.0,5208.0,-0.007353,16.749232,False
Marinduque,2023-06,2022-06,86.0,27401.92,212.0,36450.8,-0.59434,-0.248249,False
Quezon,2023-06,2022-06,6069.03,1803051.38,619.0,116733.01,8.804572,14.445943,False
Batangas,2023-07,2022-07,606.0,167061.69,236.0,94951.21,1.567797,0.759448,False
Camarines Norte,2023-07,2022-07,42.3,31110.0,331.0,97196.72,-0.872205,-0.679927,False
Laguna,2023-07,2022-07,2.0,3744.0,90.0,15550.0,-0.977778,-0.759228,False
Marinduque,2023-07,2022-07,75.0,10415.52,465.0,101159.88,-0.83871,-0.897039,False
Quezon,2023-07,2022-07,565.0,115142.79,320.0,74416.7,0.765625,0.547271,False
Batangas,2023-08,2022-08,388.0,85237.6,365.0,157215.82,0.063014,-0.457831,False
Cavite,2023-08,2022-08,12.0,1806.6,129.0,30371.18,-0.906977,-0.940516,False
Quezon,2023-08,2022-08,571.0,136118.38,628.0,111461.94,-0.090764,0.221209,False
Batangas,2023-09,2022-09,234.0,129582.32,283.0,60985.2,-0.173145,1.124816,False
Marinduque,2023-09,2022-09,131.0,48195.96,87.0,38720.42,0.505747,0.244717,False
Quezon,2023-09,2022-09,405.0,149147.24,748.0,152968.57,-0.458556,-0.024981,False
Batangas,2023-10,2022-10,554.2,111600.1,515.0,148814.12,0.076117,-0.25007,False
Camarines Norte,2023-10,2022-10,24.0,1560.0,214.0,48110.0,-0.88785,-0.967574,False
Laguna,2023-10,2022-10,5.0,14469.0,,,,,False
Quezon,2023-10,2022-10,686.0,172995.5,409.63,74955.15,0.674682,1.307987,False
Batangas,2023-11,2022-11,712.2,162291.78,153.0,68118.94,3.654902,1.382477,False
Camarines Norte,2023-11,2022-11,13.19,1018.0,32.0,9730.0,-0.587813,-0.895375,False
Cavite,2023-11,2022-11,3.0,570.0,134.0,11702.5,-0.977612,-0.951292,False
Quezon,2023-11,2022-11,921.0,202265.98,417.0,93906.35,1.208633,1.153912,False
Batangas,2023-12,2022-12,268.0,61701.48,170.0,74152.6,0.576471,-0.167912,False
Marinduque,2023-12,2022-12,97.0,33276.6,1941.0,372551.84,-0.950026,-0.910679,False
Quezon,2023-12,2022-12,128.0,45371.33,785.0,162169.27,-0.836943,-0.720222,False
Batangas,2024-01,2023-01,669.57,110143.03,222.0,49596.7,2.016081,1.220773,False
Marinduque,2024-01,2023-01,246.0,66007.6,3459.0,373566.0,-0.928881,-0.823304,False
Quezon,2024-01,2023-01,387.0,101360.76,465.0,95937.33,-0.167742,0.056531,False
Batangas,2024-02,2023-02,529.0,168833.42,260.0,44736.67,1.034615,2.773938,False
Marinduque,2024-02,2023-02,10.0,3250.0,123.0,21339.66,-0.918699,-0.847701,False
Quezon,2024-02,2023-02,626.0,89606.25,148.5,48530.38,3.215488,0.846395,False
Batangas,2024-03,2023-03,283.0,71283.7,534.4,70446.06,-0.470434,0.011891,False
Quezon,2024-03,2023-03,529.0,111194.55,462.0,102442.52,0.145022,0.085434,False
Batangas,2024-04,2023-04,448.0,118848.48,213.1,63972.84,1.102299,0.857796,False
Marinduque,2024-04,2023-04,31.0,15430.0,111.0,21408.84,-0.720721,-0.27927,False
Quezon,2024-04,2023-04,172.0,30120.0,535.3,79025.5,-0.678685,-0.618857,False
Batangas,2024-05,2023-05,391.0,87320.72,287.0,95835.07,0.362369,-0.088844,False
Marinduque,2024-05,2023-05,65.0,23575.0,24.0,1308.0,1.708333,17.0237,False
Quezon,2024-05,2023-05,810.5,157391.25,921.0,238240.89,-0.119978,-0.339361,False
Batangas,2024-06,2023-06,436.0,103061.4,3367.4,663129.73,-0.870523,-0.844583,False
Marinduque,2024-06,2023-06,154.0,20498.88,86.0,27401.92,0.790698,-0.251918,False
Quezon,2024-06,2023-06,491.0,102910.82,6069.03,1803051.38,-0.919097,-0.942924,False
Batangas,2024-07,2023-07,240.0,76465.3,606.0,167061.69,-0.60396,-0.542293,False
Marinduque,2024-07,2023-07,36.0,8885.92,75.0,10415.52,-0.52,-0.146858,False
Quezon,2024-07,2023-07,329.0,58834.18,565.0,115142.79,-0.417699,-0.489033,False
Batangas,2024-08,2023-08,306.0,77995.2,388.0,85237.6,-0.21134,-0.084967,False
Marinduque,2024-08,2023-08,50.0,9250.0,,,,,False
Quezon,2024-08,2023-08,319.0,51612.0,571.0,136118.38,-0.441331,-0.62083,False
Batangas,2024-09,2023-09,262.0,80811.55,234.0,129582.32,0.119658,-0.376369,False
Marinduque,2024-09,2023-09,298.0,82122.75,131.0,48195.96,1.274809,0.703934,False
Quezon,2024-09,2023-09,317.0,54877.0,405.0,149147.24,-0.217284,-0.632062,False
Batangas,2024-10,2023-10,372.0,49323.82,554.2,111600.1,-0.328762,-0.558031,False
Quezon,2024-10,2023-10,348.5,59217.53,686.0,172995.5,-0.491983,-0.657693,False
Batangas,2024-11,2023-11,408.0,90580.8,712.2,162291.78,-0.427127,-0.441865,False
Quezon,2024-11,2023-11,629.0,106890.82,921.0,202265.98,-0.317047,-0.471533,False
Batangas,2024-12,2023-12,238.0,72895.99,268.0,61701.48,-0.11194,0.18143,False
Quezon,2024-12,2023-12,463.0,116038.3,128.0,45371.33,2.617188,1.557525,False
Batangas,2025-01,2024-01,286.0,97025.42,669.57,110143.03,-0.57286,-0.119096,True
Quezon,2025-01,2024-01,752.0,197141.12,387.0,101360.76,0.943152,0.944945,True
Batangas,2025-02,2024-02,413.0,132665.76,529.0,168833.42,-0.219282,-0.214221,True
Marinduque,2025-02,2024-02,162.0,46226.76,10.0,3250.0,15.2,13.223618,True
Quezon,2025-02,2024-02,386.0,75013.72,626.0,89606.25,-0.383387,-0.162852,True
Batangas,2025-03,2024-03,358.0,96562.55,283.0,71283.7,0.265018,0.354623,True
Marinduque,2025-03,2024-03,39.0,6133.1,,,,,True
Quezon,2025-03,2024-03,516.0,74835.05,529.0,111194.55,-0.024575,-0.32699,True
Batangas,2025-04,2024-04,311.0,97763.12,448.0,118848.48,-0.305804,-0.177414,True
Marinduque,2025-04,2024-04,4.0,2290.0,31.0,15430.0,-0.870968,-0.851588,True
Quezon,2025-04,2024-04,532.0,106706.43,172.0,30120.0,2.093023,2.54271,True
Batangas,2025-05,2024-05,170.0,51821.26,391.0,87320.72,-0.565217,-0.406541,True
Marinduque,2025-05,2024-05,69.0,12674.0,65.0,23575.0,0.061538,-0.462397,True
Quezon,2025-05,2024-05,461.0,113881.94,810.5,157391.25,-0.431215,-0.27644,True
Batangas,2025-06,2024-06,740.97,179820.03,436.0,103061.4,0.699472,0.744785,True
Marinduque,2025-06,2024-06,140.0,21096.0,154.0,20498.88,-0.090909,0.029129,True
Quezon,2025-06,2024-06,575.5,102295.1,491.0,102910.82,0.172098,-0.005983,True
Batangas,2025-07,2024-07,255.0,68764.34,240.0,76465.3,0.0625,-0.100712,True
Marinduque,2025-07,2024-07,176.5452,361342.62,36.0,8885.92,3.904033,39.664627,True
Quezon,2025-07,2024-07,561.0,147407.81,329.0,58834.18,0.705167,1.505479,True
Batangas,2025-08,2024-08,303.0,98169.62,306.0,77995.2,-0.009804,0.258662,True
Marinduque,2025-08,2024-08,34.0,21005.0,50.0,9250.0,-0.32,1.270811,True
Quezon,2025-08,2024-08,411.0,96874.35,319.0,51612.0,0.288401,0.876973,True
Batangas,2025-09,2024-09,292.0,84126.41,262.0,80811.55,0.114504,0.04102,True
Quezon,2025-09,2024-09,709.5,113003.59,317.0,54877.0,1.23817,1.059216,True
Batangas,2025-10,2024-10,312.0,86019.92,372.0,49323.82,-0.16129,0.743983,True
Marinduque,2025-10,2024-10,50.0,182738.24,,,,,True
Quezon,2025-10,2024-10,745.0,147648.18,348.5,59217.53,1.137733,1.493319,True
Batangas,2025-11,2024-11,285.0,68414.76,408.0,90580.8,-0.301471,-0.24471,True
Quezon,2025-11,2024-11,339.0,60406.64,629.0,106890.82,-0.461049,-0.434875,True
Batangas,2025-12,2024-12,237.0,56692.25,238.0,72895.99,-0.004202,-0.222286,True
Quezon,2025-12,2024-12,369.0,54754.6,463.0,116038.3,-0.203024,-0.528133,True
Laguna,2047-11,2046-11,2.0,1300.0,,,,,False
