product_name,total_transactions,total_quantity,total_net_sales,total_gross_margin,gross_margin_pct,first_year,last_year
AZICARE 500MG TAB,31,205.79,411459.29,146708.49,35.66,2019,2021
PULSE OXIMTER ADULT (CHOICEMMED),4,108.00,411366.00,284886.00,69.25,2023,2025
SANDINE,14,50.40,410360.00,244460.00,59.57,2019,2021
"PAGBILAO # 411,000",1,1.00,409780.00,140144.76,34.20,2025,2025
PHIZOLIN 1G,15,1585.00,409700.00,195897.50,47.81,2020,2025
NERVAMIN PLUS 500MG/50MG/100MG/100MCG,111,282.60,408833.60,314503.20,76.93,2018,2019
MUCOLIFAR 500MG TAB,51,125.00,408510.00,271010.00,66.34,2023,2025
ZOLNEVAR 40MG,3,750.00,407500.00,382000.00,93.74,2020,2023
"QMC # 407,373.75",1,1.00,406885.00,157196.35,38.63,2025,2025
HYCLENS 0.2% WOUND CARE SOLUTION - 15ML,1,1440.00,403200.00,359654.40,89.20,2019,2019
OLXARIN 4000IU/0.4ML 40MG/0.4ML,2,183.00,402879.00,322359.00,80.01,2022,2022
BICARBISAPH 84MG/ML,3,61.00,402500.00,56250.00,13.98,2022,2023
NINGBO DAVID STAND ALONE PHOTOTHERAPY,2,2.00,400670.00,180670.00,45.09,2022,2023
DESKTOP PCX LFH,1,5.00,399975.00,198500.00,49.63,2022,2022
CORPILYN 250MG,13,15220.00,399875.10,220279.10,55.09,2025,2025
AROPOTIN 4000IU,10,28.00,399600.00,134000.00,33.53,2018,2018
"PAGBILAO # 400,000",1,1.00,399500.00,136629.00,34.20,2025,2025
SANOMAX-FA,66,416.00,399019.36,166059.36,41.62,2023,2025
OMCARE 40MG WITH DILUENT,7,8050.00,394754.50,129104.50,32.71,2025,2025
LACTAMOX 625MG,69,1165.00,393905.00,205020.36,52.05,2017,2017
ARTAL-H 50MG/12.5MG,69,272.00,392815.74,302854.38,77.10,2018,2023
HAIXONNE 1G POWDER,3,4080.00,391620.00,245740.00,62.75,2022,2023
F6 FETAL MONITOR SINGLE,1,1.00,390000.00,230000.00,58.97,2022,2022
MULTIVITA,21,2165.00,389823.40,186191.40,47.76,2019,2022
AZCORE 500MG TAB,23,348.03,388945.00,261549.50,67.25,2023,2025
FACE MASK N95 PARTICULATE RESPIRATOR SURGICAL MASK (3M),2,70.00,388000.00,350200.00,90.26,2021,2021
DOPAMET 250MG TAB,63,615.10,385233.98,222833.34,57.84,2018,2024
ALCOHOL - VELVETCARE ISOPROPYL 70%,1,480.00,384000.00,240000.00,62.50,2021,2021
BENERVA PLUS TAB,55,297.00,379790.20,216440.20,56.99,2019,2023
"MARINDUQUE # 450,000.00",1,1.00,379600.00,75863.20,19.99,2025,2025
LODIPEX - 10MG,24,861.00,379545.00,327885.00,86.39,2021,2022
EROXIME 750MG IV,42,241.00,379290.00,334795.00,88.27,2023,2025
GENTAM 40MG,82,976.00,376862.94,281194.39,74.61,2018,2023
JAGAPLEX TAB,136,376.28,375651.40,255912.23,68.12,2018,2023
MATTRESS 2X36X75,1,200.00,374900.00,254900.00,67.99,2022,2022
BCG VACCINE 500MG/ML+1ML DILUENT IN AMPULE,2,6.68,373986.00,176926.00,47.31,2025,2025
DISPOSABLE DIAPER ADULT XL (HEXACARE),7,1554.00,373576.00,1977.99,0.53,2023,2025
TRAXAN 100MG,20,611.00,373425.00,251225.00,67.28,2021,2022
SYVIR 200MG,1,25.00,370000.00,190000.00,51.35,2021,2021
LUNCHEONMEAT - LIBERTY,1,166.67,370000.00,136675.33,36.94,2021,2021
K-LYTE 600MG TABLET,4,290.00,369750.00,44950.00,12.16,2025,2025
COMOX 625MG,60,142.00,369748.70,209630.70,56.70,2018,2024
HYLAZINE 20MG,9,166.00,368710.00,60692.50,16.46,2019,2020
LACTAMOX 125MG/31.25MG/5ML,183,1805.00,368367.00,204318.03,55.47,2018,2023
"TOURISM # 368,000.00",1,1.00,367680.00,125746.56,34.20,2025,2025
AIRCON SPLIT TYPE 2HP INVERTER (CARRIER),1,4.00,366400.00,145200.00,39.63,2024,2024
SUCTION SET POOLE ABDOMINAL DRAIN - SIMPLEX,8,1400.00,365500.00,108000.00,29.55,2020,2023
"MARINDUQUE # 363,494.00",1,1.00,363300.00,172310.00,47.43,2025,2025
AMLOSAPH-10 10MG,2,480.00,361920.00,355200.00,98.14,2023,2023
BERCEF 250MG/5ML,79,940.00,361600.00,213220.00,58.97,2017,2025
REVITAPLEX TAB,14,644.60,359839.40,297601.48,82.70,2019,2023
"QMC # 409,770.00",1,1.00,357420.00,183321.94,51.29,2025,2025
HEPABIG 100I.U/0.5ML IV,3,100.00,357300.00,67300.00,18.84,2025,2025
"TOURISM # 356,000",1,1.00,355300.00,121512.60,34.20,2025,2025
NORVATROL 5MG,1,372.00,355260.00,323640.00,91.10,2023,2023
TOSYLAM 750MG,37,112.00,354325.00,223675.00,63.13,2017,2025
SPASBACINE,10,455.00,353900.00,240150.00,67.86,2018,2018
DALAMYCIN 600MG/4ML,9,358.00,353550.00,0.00,0.00,2018,2019
CIPRODIN 500MG,2,220.00,351800.00,286536.00,81.45,2020,2022
RELAXSAPH 500MCG+2.5MG/2.5ML,5,428.33,350761.00,196347.00,55.98,2024,2025
