source_workbook,source_sheet,source_row_number,date_delivered,area,product,quantity,unit_cost,total_cost,discount,net_cost,trade_price_unit,total_trade_price,net_income,margin_pct,quality_status,quality_notes
2024s.csv,2024-07-31,2670,2024-07-31,Government,"PAGBILAO # 16,930.00",1,16880,16880,0,16880,11995,11995,4885,0.29,valid,
2024s.csv,2024-07-31,2671,2024-07-31,Government,"PAGBILAO # 179,894.00",1,97280,97280,0,97280,117350,117350,20070,-0.21,valid,
2024s.csv,2024-07-31,2664,2024-07-31,Government,"PAGBILAO # 21,787.00",1,16058,16058,0,16058,12018,12018,4040,0.25,valid,
2024s.csv,2024-07-31,2677,2024-07-31,Government,"PAGBILAO # 258,380.00",1,151200,151200,0,151200,127165.5,127165.5,24034.5,0.16,valid,
2024s.csv,2024-07-31,2668,2024-07-31,Government,"PAGBILAO # 56,546.00",1,20056,20056,0,20056,41156,41156,21100,-1.05,warning,margin percentage is outside the expected range
2024s.csv,2024-07-31,2667,2024-07-31,Government,"PAGBILAO # 6,210.00",1,6115,6115,0,6115,4592,4592,1523,0.25,valid,
2024s.csv,2024-08-04,2597,2024-08-04,Government,"PAGBILAO # 17,785.00 LOT 8",1,17636.25,17636.25,0,17636.25,11500,11500,6136.25,0.35,valid,
2024s.csv,2024-08-05,2603,2024-08-05,Government,"PAGBILAO # 231,000.00 LOT 9",1,230250,230250,0,230250,156000,156000,74250,0.32,valid,
2024s.csv,2024-08-14,2753,2024-08-14,Government,"PAGBILAO # 200,000.00 -1",1,149850,149850,0,149850,130800,130800,19050,0.13,valid,
2024s.csv,2024-08-15,2202,2024-08-15,Hospital,"QMC # 27,190.00",1,27150,27150,0,27150,14378,14378,12772,0.47,valid,
2024s.csv,2024-08-16,2719,2024-08-16,Government,"PAGBILAO # 10,000.00 -0.1",1,9925,9925,0,9925,6575.31,6575.31,3349.69,0.34,valid,
2024s.csv,2024-08-16,2720,2024-08-16,Government,"PAGBILAO # 10,000.00 -0.2",1,9790,9790,0,9790,6485.88,6485.88,3304.12,0.34,valid,
2024s.csv,2024-08-16,2722,2024-08-16,Government,"PAGBILAO # 200,000.00",1,199800,199800,0,199800,132367.5,132367.5,67432.5,0.34,valid,
2024s.csv,2024-08-16,2714,2024-08-16,Government,"PAGBILAO # 275,000.00",1,67550,67550,0,67550,182071.56,182071.56,114521.56,-1.7,warning,margin percentage is outside the expected range
2024s.csv,2024-08-16,2721,2024-08-16,Government,PAGBILAO # 3000.00,1,1985.51,1985.51,0,1985.51,1985.51,1985.51,0,0,valid,
2024s.csv,2024-08-16,2708,2024-08-16,Government,"PAGBILAO # 325,000.00",1,45990,45990,0,45990,215166.75,215166.75,169176.75,-0.0368,valid,
2024s.csv,2024-08-16,2706,2024-08-16,Government,"PAGBILAO # 390,100.00",1,317500,317500,0,317500,258341.88,258341.88,59158.12,0.19,valid,
2024s.csv,2024-08-16,2705,2024-08-16,Government,PAGBILAO # 5000.00,1,4995,4995,0,4995,3309.19,3309.19,1685.81,0.34,valid,
2024s.csv,2024-08-28,2724,2024-08-28,Government,"PAGBILAO # 46,000.00",1,45800,45800,0,45800,35600,35600,10200,0.22,valid,
2024s.csv,2024-09-07,2835,2024-09-07,Government,"PAGBILAO # 2,422,600.00",1,783575,783575,0,783575,1150432.5,1150432.5,366857.5,-0.47,valid,
2024s.csv,2024-09-10,2767,2024-09-10,Government,"PAGBILAO # 45,500.00",1,45110,45110,0,45110,26840.45,26840.45,18269.55,0.41,valid,
