data_layer,source_workbook,source_sheet,source_row_number,source_header_row_number,Area,DR Number,Date Delivered,Product,Qty,CP,Total CP,Disc,Net CP,TP/UNIT,TOTAL TP,Net Income,%
raw_sales_report,Sales Report.xlsx,2024,863,6,Quezon,DR 025453,2024-11-11,SANOMAX-FA,5,1400,7000,2100,4900,560,2800,2100,0.3
raw_sales_report,Sales Report.xlsx,2024,864,6,Quezon,DR 025454,2024-11-11,GOPAMINE 40MG/ML (200MG/5ML) 5ML,40,630,25200,0,25200,155,6200,19000,0.753968253968254
raw_sales_report,Sales Report.xlsx,2024,865,6,Quezon,DR 025454,2024-11-11,EUROMED MAGNESIUM SULFATE 250MG/ML (25%) 20ML,30,70,2100,0,2100,42,1260,840,0.4
raw_sales_report,Sales Report.xlsx,2024,866,6,Quezon,DR 025454,2024-11-11,CETHERGO 200MCG/ML IV,1,4375,4375,0,4375,1125,1125,3250,0.7428571428571429
raw_sales_report,Sales Report.xlsx,2024,867,6,Quezon,DR 025455,2024-11-11,EPIX 1MG/ML IV,30,780,23400,0,23400,170,5100,18300,0.782051282051282
raw_sales_report,Sales Report.xlsx,2024,868,6,Quezon,DR 025456,2024-11-12,CENDALEX 100MG/ML,24,125,3000,0,3000,35.7,856.8,2143.2,0.7143999999999999
raw_sales_report,Sales Report.xlsx,2024,869,6,Quezon,DR 025456,2024-11-12,BUFEN 200MG/5ML,20,114,2280,0,2280,47.5,950,1330,0.5833333333333334
raw_sales_report,Sales Report.xlsx,2024,870,6,Quezon,DR 025474,2024-12-04,BENERVA PLUS 500MG/50MG/100MG/100MCG,5,1200,6000,0,6000,615,3075,2925,0.4875
raw_sales_report,Sales Report.xlsx,2024,871,6,Quezon,DR 025472,2024-12-02,EPIX 1MG/ML IV,30,780,23400,0,23400,170,5100,18300,0.782051282051282
raw_sales_report,Sales Report.xlsx,2024,872,6,Quezon,DR 025472,2024-12-02,PHYTOBAS 10MG/ML IV,30,830,24900,0,24900,125,3750,21150,0.8493975903614458
raw_sales_report,Sales Report.xlsx,2024,873,6,Quezon,DR 025472,2024-12-02,VITACORE 100MG/100MG/1MG 3ML,3,700,2100,0,2100,115,345,1755,0.8357142857142857
raw_sales_report,Sales Report.xlsx,2024,874,6,Quezon,DR 025473,2024-12-05,SOLVAPRINE 10MG TAB,20,700,14000,4200,9800,150,3000,6800,0.4857142857142857
raw_sales_report,Sales Report.xlsx,2024,875,6,Quezon,DR 025476,2024-12-10,AMOLTEX 2MG/5ML,24,98,2352,0,2352,28,672,1680,0.7142857142857143
raw_sales_report,Sales Report.xlsx,2024,876,6,Quezon,DR 025477,2024-12-11,FERGLOBIN 250MG CAP,10,750,7500,2250,5250,325,3250,2000,0.26666666666666666
raw_sales_report,Sales Report.xlsx,2024,877,6,Quezon,DR 025478,2024-12-11,CINNABLOC 25MG TAB,2,550,1100,0,1100,200,400,700,0.6363636363636364
raw_sales_report,Sales Report.xlsx,2024,878,6,Quezon,DR 025479,2024-12-11,CIUMADE TAB,2,1450,2900,870,2030,450,900,1130,0.3896551724137931
raw_sales_report,Sales Report.xlsx,2024,879,6,Quezon,DR 025479,2024-12-11,EXECORE 500MG TAB,1,3400,3400,1020,2380,78,78,2302,0.6770588235294117
raw_sales_report,Sales Report.xlsx,2024,880,6,Quezon,DR 025480,2024-12-12,KZIDINE 35MG,10,1350,13500,4725,8775,600,6000,2775,0.20555555555555555
raw_sales_report,Sales Report.xlsx,2024,881,6,Quezon,DR 025475,2024-12-06,KZIDINE 35MG,24,1500,36000,0,36000,600,14400,21600,0.6
raw_sales_report,Sales Report.xlsx,2024,882,6,Quezon,DR 025481,2024-12-16,CLOVAS 75MG TAB,20,1410,28200,0,28200,345,6900,21300,0.7553191489361702
raw_sales_report,Sales Report.xlsx,2024,883,6,Quezon,DR 025481,2024-12-16,CARVIDA 6.25MG,20,462,9240,0,9240,132,2640,6600,0.7142857142857143
raw_sales_report,Sales Report.xlsx,2024,884,6,Quezon,DR 025481,2024-12-16,FORMET-500 500MG,10,292,2920,0,2920,77,770,2150,0.7363013698630136
raw_sales_report,Sales Report.xlsx,2024,885,6,Quezon,DR 025482,2024-12-18,TRIDEN 160MG TAB,3,1170,3510,0,3510,720,2160,1350,0.38461538461538464
raw_sales_report,Sales Report.xlsx,2024,886,6,Quezon,DR 025483,2024-12-18,LACTAMOX 500MG/125MG,2,3800,7600,2280,5320,1115,2230,3090,0.40657894736842104
raw_sales_report,Sales Report.xlsx,2024,887,6,Quezon,DR 025483,2024-12-18,FERGLOBIN 250MG CAP,2,800,1600,480,1120,325,650,470,0.29375
raw_sales_report,Sales Report.xlsx,2024,888,6,Quezon,DR 025487,2024-12-21,GOPAMINE 40MG/ML (200MG/5ML) 5ML,40,630,25200,0,25200,155,6200,19000,0.753968253968254
raw_sales_report,Sales Report.xlsx,2024,889,6,Quezon,DR 025457,2024-11-18,KZIDINE 35MG,10,1500,15000,0,15000,600,6000,9000,0.6
raw_sales_report,Sales Report.xlsx,2024,890,6,Quezon,DR 025457,2024-11-18,GITOR-40 40MG,20,3500,70000,0,70000,875,17500,52500,0.75
raw_sales_report,Sales Report.xlsx,2024,891,6,Quezon,DR 025457,2024-11-18,SI2NORM 50MG,20,1008,20160,0,20160,252,5040,15120,0.75
raw_sales_report,Sales Report.xlsx,2024,892,6,Quezon,DR 025457,2024-11-18,ATV PLUS 5MG/10MG,10,1000,10000,0,10000,250,2500,7500,0.75
raw_sales_report,Sales Report.xlsx,2024,893,6,Quezon,DR 025457,2024-11-18,ANIN 50 PLUS 50MG/12.5MG,20,420,8400,0,8400,105,2100,6300,0.75
raw_sales_report,Sales Report.xlsx,2024,894,6,Quezon,DR 025484,2024-12-19,HYCLENS GARGLE 0.12% 120ML,20,208,4160,0,4160,88,1760,2400,0.5769230769230769
raw_sales_report,Sales Report.xlsx,2024,895,6,Quezon,DR 025485,2024-12-19,HYCLENS OB WASH 1% 100ML,10,326,3260,326,2934,138.6,1386,1548,0.47484662576687114
raw_sales_report,Sales Report.xlsx,2024,896,6,Quezon,DR 025486,2024-12-20,KZIDINE 35MG,10,1350,13500,4725,8775,600,6000,2775,0.20555555555555555
raw_sales_report,Sales Report.xlsx,2024,897,6,Quezon,DR 025487,2024-12-21,PHYTOBAS 10MG/ML IV,30,830,24900,0,24900,125,3750,21150,0.8493975903614458
raw_sales_report,Sales Report.xlsx,2024,898,6,Quezon,DR 025487,2024-12-21,ATREX 1MG/ML,10,780,7800,0,7800,520,5200,2600,0.3333333333333333
raw_sales_report,Sales Report.xlsx,2024,899,6,Quezon,DR 025487,2024-12-21,MERGO 125MCG,2,1000,2000,0,2000,140,280,1720,0.86
raw_sales_report,Sales Report.xlsx,2024,900,6,Batangas,DR 24639,2024-01-02,ARTAL-H 50MG/12.5MG TAB,2,3000,6000,0,6000,115,230,5770,0.9616666666666667
