data_layer,source_workbook,source_sheet,source_row_number,source_header_row_number,DRNumber,DRDate,AREA,Product,Qty,ContractPrice,TOTAL CP,Discount,TotalCP,TransferPrice,Total TP,Net Income,column_13
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,53,5,13563,2019-01-31,Admin,Isoprine 10mg,7,671.428571428,4699.999999996,0,4699.999999996,215,1505,3194.999999996,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,54,5,13563,2019-01-31,Admin,HAV C 500mg,7,135.714285714,949.999999998,0,949.999999998,60,420,529.999999998,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,55,5,13563,2019-01-31,Admin,XYNETIN 1500mg/200iu,7,678.571428571,4749.999999997,0,4749.999999997,310,2170,2579.9999999969996,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,56,5,13564,2019-02-01,Hospital,Gyne-tocin 10iu/ml,400,900,360000,0,360000,91.66666666666667,36666.66666666667,323333.3333333333,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,57,5,13565,2019-02-01,Hospital,MAXIFER 20mg/ml,120,2450,294000,0,294000,951.382,114165.84,179834.16,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,58,5,13565,2019-02-01,Hospital,EVAPROST 250mcg/ml,50,9600,480000,0,480000,3575,178750,301250,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,59,5,13565,2019-02-01,Hospital,PROFUREX 750mg ,2000,377.44,754880,0,754880,198.6952,397390.4,357489.6,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,60,5,13565,2019-02-01,Hospital,EUROXONE 1g,300,380,114000,0,114000,73,21900,92100,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,61,5,13566/ SI 2160,2019-02-01,Quezon,PHYTOMEN 10mg/ml,30,780,23400,0,23400,190,5700,17700,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,62,5,13567,2019-02-04,Admin,MONILIASOL 500mg,0.39,680,265.2,79.56,185.64,240,93.60000000000001,92.03999999999998,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,63,5,13568,2019-02-04,Admin,AEROVENT 1mg/ml,3,390,1170,0,1170,122.5,367.5,802.5,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,64,5,13568,2019-02-04,Admin,Face Mask Earloop,2,75,150,0,150,45,90,60,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,65,5,13568,2019-02-04,Admin,CENDALEX 125mg/5ml,3,52.5,157.5,0,157.5,35,105,52.5,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,66,5,13568,2019-02-04,Admin,"MICROPORE 1"" - 3M",1,540,540,0,540,380,380,160,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,67,5,13568,2019-02-04,Admin,GLOVES (S) - Dr. Choice,2,195,390,0,390,130,260,130,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,68,5,13568,2019-02-04,Admin,JAGA 300MG/100MG/100MCG,1,795,795,0,795,530,530,265,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,69,5,13568,2019-02-04,Admin,INTRAPLEM 500mg,1,420,420,0,420,280,280,140,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,70,5,13569,2019-02-04,Admin,PHILSTAT 20mg,1,144,144,0,144,96,96,48,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,71,5,13569,2019-02-04,Admin,Microscot 20mg/g,6,123,738,0,738,79,474,264,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,72,5,13569,2019-02-04,Admin,ELAVIL 300mg,1,33.5,33.5,0,33.5,,,33.5,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,73,5,13569,2019-02-04,Admin,EXEL 100mg,10,21.23,212.3,0,212.3,13.75,137.5,74.80000000000001,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,74,5,13569,2019-02-04,Admin,EXEL 250mg/5ml sus,10,38.25,382.5,0,382.5,25.5,255,127.5,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,75,5,13571,2019-02-06,Admin,MAXXIVIT PLUS,7,857.14285,5999.999949999999,0,5999.999949999999,440,3080,2919.9999499999994,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,76,5,13571,2019-02-06,Admin,XYNETIN 1500mg/200iu,7,678.57142,4749.99994,0,4749.99994,310,2170,2579.9999399999997,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,77,5,13571,2019-02-06,Admin,Hyclens 0.2% Wound Spray 60ml,20,229.32,4586.4,0,4586.4,128.796,2575.92,2010.4799999999996,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,78,5,13571,2019-02-06,Admin,Isoprine 10mg,7,671.42857,4699.99999,0,4699.99999,215,1505,3194.9999900000003,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,79,5,13572,2019-02-06,Admin,NITROFURANTOIN 100mg CAP,0.36,1000,360,108,252,190,68.39999999999999,183.60000000000002,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,80,5,13574/ SI 2175,2019-02-08,Hospital,APROCARE 150mg,1,870,870,0,870,219,219,651,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,81,5,13574/ SI 2175,2019-02-08,Hospital,DIFLOSID 75mg/3ml,5,750,3750,0,3750,142.25,711.25,3038.75,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,82,5,13574/ SI 2175,2019-02-08,Hospital,ATOVAS 20mg,1,750,750,0,750,174.49666666666667,174.49666666666667,575.5033333333333,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,83,5,13574/ SI 2175,2019-02-08,Hospital,CEFZIME 750mg,5,3000,15000,0,15000,765,3825,11175,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,84,5,13574/ SI 2175,2019-02-08,Hospital,CEPROTRON 500mg,2,1750,3500,0,3500,500,1000,2500,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,85,5,13574/ SI 2175,2019-02-08,Hospital,Ranirex 25mg/ml,3,800,2400,0,2400,40,120,2280,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,86,5,13574/ SI 2175,2019-02-08,Hospital,BUPIRIGHT 5mg/ml,4,3100,12400,0,12400,,,12400,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,87,5,13574/ SI 2175,2019-02-08,Hospital,EVAPROST 125mcg/ml,2,3960,7920,0,7920,1872,3744,4176,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,88,5,13574/ SI 2175,2019-02-08,Hospital,EUROXONE 1g,40,480,19200,0,19200,73,2920,16280,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,89,5,13574/ SI 2175,2019-02-08,Hospital,ALGICAP 500mg CAP,1,780,780,0,780,227.5,227.5,552.5,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,90,5,13576,2019-02-08,Admin,Pregnancy test - Rejoice,150,30,4500,0,4500,,,4500,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,91,5,13576,2019-02-08,Admin,Ultrasound Gel (Gallon),1,1800,1800,0,1800,,,1800,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,92,5,13577,2019-02-11,Admin,Isoprine 10mg,7,671.42857,4699.99999,0,4699.99999,215,1505,3194.9999900000003,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,93,5,13577,2019-02-11,Admin,MAXXIVIT PLUS,7,857.14285,5999.999949999999,0,5999.999949999999,440,3080,2919.9999499999994,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,94,5,13577,2019-02-11,Admin,Folacid 5MG,7,464.28571,3249.99997,0,3249.99997,196.88,1378.1599999999999,1871.83997,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,95,5,13578,2019-02-11,Admin,ERGON 125mcg,2,2000,4000,1200,2800,90.66600000000001,181.33200000000002,2618.668,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,96,5,13578,2019-02-11,Admin,CEPROTRON 500mg,3,1750,5250,1575,3675,500,1500,2175,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,97,5,13578,2019-02-11,Admin,ZAFEX 500mg,2,3000,6000,1800,4200,1000,2000,2200,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,98,5,13578,2019-02-11,Admin,CORSTAPH 500mg,4,1500,6000,1800,4200,435,1740,2460,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,99,5,13583,2019-02-16,Admin,TRANCE 500MG,2,2100,4200,0,4200,125,250,3950,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,100,5,13583,2019-02-16,Admin,FERGLOBIN 250mg,7,517.85714,3624.9999799999996,0,3624.9999799999996,215,1505,2119.9999799999996,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,101,5,13584,2019-02-16,Admin,ERGON 125mcg,2,2000,4000,1200,2800,90.66600000000001,181.33200000000002,2618.668,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,102,5,13584,2019-02-16,Admin,CORSTAPH 500mg,2,1500,3000,900,2100,435,870,1230,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,103,5,13584,2019-02-16,Admin,XYNETIN 1500mg/200iu,4,950,3800,1140,2660,310,1240,1420,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,104,5,13586,2019-02-18,Admin,EUROXIME 250mg/5ml,3,209.18,627.54,0,627.54,139.45,418.34999999999997,209.19,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,105,5,13586,2019-02-18,Admin,Face Mask Earloop,5,75,375,0,375,45,225,150,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,106,5,13586,2019-02-18,Admin,BROXIL-M 15mg/5ml,6,44.21,265.26,0,265.26,29.47,176.82,88.44,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,107,5,13586,2019-02-18,Admin,HAV C 500mg,2,93,186,0,186,60,120,66,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,108,5,13586,2019-02-18,Admin,INTRAPLEM 50mg/ml - Drops,6,40.43,242.57999999999998,0,242.57999999999998,29.95,179.7,62.879999999999995,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,109,5,13586,2019-02-18,Admin,CORSTAPH 500mg,1,652.5,652.5,0,652.5,435,435,217.5,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,110,5,13586,2019-02-18,Admin,ALGICAP 50mg/5ml SUS,6,48.2,289.20000000000005,0,289.20000000000005,24.61,147.66,141.54000000000005,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,111,5,13587/ SI 2198,2019-02-19,Quezon,ERGON 125mcg,2,1100,2200,0,2200,90.66600000000001,181.33200000000002,2018.668,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,112,5,13587/ SI 2198,2019-02-19,Quezon,PHYTOMEN 10mg/ml,30,780,23400,0,23400,190,5700,17700,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,113,5,13588,2019-02-19,Admin,MAXXIVIT PLUS,7,857.14285,5999.999949999999,0,5999.999949999999,440,3080,2919.9999499999994,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,114,5,13588,2019-02-19,Admin,Isoprine 10mg,14,671.42857,9399.99998,0,9399.99998,215,3010,6389.9999800000005,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,115,5,13589,2019-02-19,Admin,GLOVES (S) - Dr. Choice,4,450,1800,0,1800,130,520,1280,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,116,5,13590,2019-02-19,Admin,CEPROTRON 500mg,2,1750,3500,1050,2450,500,1000,1450,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,117,5,13590,2019-02-19,Admin,Bloxol 30mg,2,670,1340,402,938,,,938,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,118,5,13590,2019-02-19,Admin,ANEROCIN 300mg,1,3800,3800,1140,2660,890,890,1770,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,119,5,13590,2019-02-19,Admin,CALCIUM CARBONATE,3,950,2850,855,1995,,,1995,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,120,5,13590,2019-02-19,Admin,XYNETIN 1500mg/200iu,0.4,950,380,114,266,310,124,142,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,121,5,13591,2019-02-21,Admin,Folacid 5MG,7,464.28571,3249.99997,0,3249.99997,196.88,1378.1599999999999,1871.83997,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,122,5,13591,2019-02-21,Admin,MAXXIVIT PLUS,7,857.14285,5999.999949999999,0,5999.999949999999,440,3080,2919.9999499999994,
