data_layer,source_workbook,source_sheet,source_row_number,source_header_row_number,DR,DATE,AREA,PRODUCT,GROSS SALES,UNIT PRICE,GROSS,DISCOUNT,column_9,QTY,TP,TOTAL,NET INCOME
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,108,5,12877,2017-05-21,QUEZON,#REF!,10,750,7500,,0,10,202.5,2025,5475
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,109,5,12903,2017-05-02,CAVITE,#REF!,10,1980,19800,0.4,7920,10,500,5000,6880
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,110,5,12903,2017-05-02,CAVITE,#REF!,5,1950,9750,0.4,3900,5,630,3150,2700
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,111,5,12904,2017-05-22,CAVITE,#REF!,10,1980,19800,0.4,7920,10,500,5000,6880
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,112,5,12904,2017-05-22,CAVITE,#REF!,5,1950,9750,0.4,3900,5,630,3150,2700
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,113,5,12905,2017-05-22,CAVITE,#REF!,2,1150,2300,,0,2,345,690,1610
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,114,5,12906,2017-05-23,CAVITE,#REF!,2,1320,2640,0.3,792,2,200,400,1448
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,115,5,12906,2017-05-23,CAVITE,#REF!,3,750,2250,0.3,675,3,225,675,900
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,116,5,12907,2017-05-22,CAVITE,#REF!,2,1425,2850,,,2,445,890,1960
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,117,5,12907,2017-05-22,CAVITE,#REF!,2,1120,2240,,,2,330,660,1580
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,118,5,12908,2017-05-22,CAVITE,#REF!,2,2000,4000,,,2,750,1500,2500
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,119,5,12908,2017-05-22,CAVITE,#REF!,3,950,2850,,,3,287.5,862.5,1987.5
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,120,5,12909,2017-06-02,CAVITE,#REF!,2,1500,3000,0.3,900,2,435,870,1230
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,121,5,12910,2017-06-02,CAVITE,#REF!,1,3000,3000,,0,1,1450,1450,1550
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,122,5,12951,2017-05-19,LAGUNA,#REF!,2,1400,2800,,0,2,90,180,2620
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,123,5,12979,2017-04-29,HOSPITAL,#REF!,2,3960,7920,,0,2,1872,3744,4176
