product,quantity,revenue,gross_margin_amount,row_count,active_months,estimated_contract_rows,rank,gross_margin_rate,revenue_share,cumulative_revenue_share,abc_class,method,status
LOMOH-60 60MG/0.6ML,1750.0,691250.0,1132687.5,4,2,0,77,1.638608,0.003128,0.510019,A,ABC/Pareto using total_trade_price revenue,draft
EPOGEN 4000IU/0.4ML,1905.0,685800.0,441102.75,5,1,0,78,0.643194,0.003104,0.513122,A,ABC/Pareto using total_trade_price revenue,draft
MODULAR TENT 79X17X79,150.0,675000.0,742425.0,1,1,0,79,1.099889,0.003055,0.516177,A,ABC/Pareto using total_trade_price revenue,draft
CARDOWIN 1MG,934.8963,672653.5,1058664.53,25,14,6,80,1.573863,0.003044,0.519222,A,ABC/Pareto using total_trade_price revenue,draft
DOCOR 250MG VIAL,838.0,666720.0,338820.0,5,5,0,81,0.508189,0.003017,0.522239,A,ABC/Pareto using total_trade_price revenue,draft
CEFUSAPH,3760.9968,641166.13,1259244.49,63,25,4,82,1.963991,0.002902,0.525141,A,ABC/Pareto using total_trade_price revenue,draft
TRIOPHIL 35MG,2043.3,637509.6,665686.4,10,3,0,83,1.044198,0.002885,0.528026,A,ABC/Pareto using total_trade_price revenue,draft
ALCOHOL ETHYL 70% - ALCORADE,1912.0,630960.0,903740.0,11,6,0,84,1.432325,0.002856,0.530881,A,ABC/Pareto using total_trade_price revenue,draft
KOVENT SF 25MCG/250MCG MDI,1955.0,625500.0,359720.0,13,8,0,85,0.575092,0.002831,0.533712,A,ABC/Pareto using total_trade_price revenue,draft
EPIX BY 10'S,1150.1858,580423.13,1040848.54,79,26,7,86,1.793258,0.002627,0.536339,A,ABC/Pareto using total_trade_price revenue,draft
AEROVENT 1MG 30'S,2185.85,579249.19,553061.42,16,7,0,87,0.95479,0.002622,0.538961,A,ABC/Pareto using total_trade_price revenue,draft
ZEFTACARE 1G IV,12930.0,569100.0,245335.5,18,7,0,88,0.431094,0.002576,0.541536,A,ABC/Pareto using total_trade_price revenue,draft
BOND PAPER LONG (HARDCOPY),40.0606,568875.65,502252.02,53,16,49,89,0.882885,0.002575,0.544111,A,ABC/Pareto using total_trade_price revenue,draft
OPREX 40MG IV,2981.2143,560803.01,593583.58,31,16,2,90,1.058453,0.002538,0.546649,A,ABC/Pareto using total_trade_price revenue,draft
"GENVAC-B 10MCG/0.5ML MONODOSE, PEDIATRIC",28.6,559990.0,655860.0,5,4,0,91,1.171199,0.002534,0.549183,A,ABC/Pareto using total_trade_price revenue,draft
CIMEX 500MG,490.394,557891.31,958667.68,25,19,3,92,1.718377,0.002525,0.551708,A,ABC/Pareto using total_trade_price revenue,draft
REFRIGERATOR 22CU.FT TWO DOOR UPRIGHT CHILLER (FUJIDENZO),2.9376,556783.29,295253.69,13,7,12,93,0.530285,0.00252,0.554228,A,ABC/Pareto using total_trade_price revenue,draft
AZCORE 500MG,2297.87,544100.77,863363.1,20,9,0,94,1.586771,0.002462,0.55669,A,ABC/Pareto using total_trade_price revenue,draft
MORNEM 500MG,3300.0,528000.0,340700.0,6,3,0,95,0.645265,0.00239,0.55908,A,ABC/Pareto using total_trade_price revenue,draft
SPIROCARE-25 25MG,2005.0,525310.0,529770.0,3,1,0,96,1.00849,0.002377,0.561457,A,ABC/Pareto using total_trade_price revenue,draft
MASKING TAPE 1INCH,89.7543,524233.19,343951.74,36,15,31,97,0.656104,0.002373,0.56383,A,ABC/Pareto using total_trade_price revenue,draft
MICROPORE 1X10 2.5CMX9.1M (3M),657.5653,521755.38,296143.01,36,8,7,98,0.56759,0.002361,0.566191,A,ABC/Pareto using total_trade_price revenue,draft
"QMC 787,170",1.0,514720.0,228640.0,1,1,0,99,0.444203,0.002329,0.568521,A,ABC/Pareto using total_trade_price revenue,draft
EXEL 100MG,331.203,512250.6,471172.57,25,17,7,100,0.919809,0.002318,0.570839,A,ABC/Pareto using total_trade_price revenue,draft
CANCARE IV CANNULA G22,500.5,510510.0,451140.0,2,2,0,101,0.883705,0.00231,0.57315,A,ABC/Pareto using total_trade_price revenue,draft
SCOTCH TAPE 1'',22.6048,500230.73,533473.02,20,7,18,102,1.066454,0.002264,0.575413,A,ABC/Pareto using total_trade_price revenue,draft
LOMOH-40 40MG/0.4ML,1550.0,496000.0,464566.0,4,3,0,103,0.936625,0.002245,0.577658,A,ABC/Pareto using total_trade_price revenue,draft
AMBIDOL 50MG/ML (100MG/2ML) 2ML,325.4192,494209.1,588557.33,55,23,11,104,1.190908,0.002237,0.579895,A,ABC/Pareto using total_trade_price revenue,draft
NYSECOD 50MG,854.0,484260.0,481105.0,8,6,0,105,0.993485,0.002192,0.582087,A,ABC/Pareto using total_trade_price revenue,draft
SAPHLECOX 200MG,479.1308,482520.57,817208.09,47,23,3,106,1.693623,0.002184,0.58427,A,ABC/Pareto using total_trade_price revenue,draft
DOLO-JAGA 500MG/50MG/100MG/100MCG,540.0402,475536.31,659074.22,149,25,5,107,1.38596,0.002152,0.586422,A,ABC/Pareto using total_trade_price revenue,draft
ISORANE 100% V/V 100ML,259.0,470300.0,596300.0,39,19,0,108,1.267914,0.002128,0.588551,A,ABC/Pareto using total_trade_price revenue,draft
MYGEL BLACK,76.6115,469185.17,315618.41,23,13,18,109,0.672695,0.002123,0.590674,A,ABC/Pareto using total_trade_price revenue,draft
"SAMSUNG UHD 50"" TV",17.0,459000.0,456025.0,1,1,0,110,0.993519,0.002077,0.592752,A,ABC/Pareto using total_trade_price revenue,draft
NITROFIX SR 30MG,854.0,444180.0,454530.0,17,11,0,111,1.023301,0.00201,0.594762,A,ABC/Pareto using total_trade_price revenue,draft
ANGEL-50 50MG,625.6701,436544.28,464573.27,36,19,4,112,1.064207,0.001976,0.596738,A,ABC/Pareto using total_trade_price revenue,draft
HYTRIX 100MG,1345.88,436442.01,323447.03,25,12,3,113,0.7411,0.001975,0.598713,A,ABC/Pareto using total_trade_price revenue,draft
DIFLOSID 25MG/ML 3ML,388.3913,434075.59,488254.97,73,22,8,114,1.124816,0.001965,0.600677,A,ABC/Pareto using total_trade_price revenue,draft
ISOLATION GOWN STERILE (GDR),3600.0,432000.0,1049535.39,3,2,0,115,2.42948,0.001955,0.602632,A,ABC/Pareto using total_trade_price revenue,draft
PPE COVER ALL SET,2013.0,422730.0,1448933.5,3,2,0,116,3.427563,0.001913,0.604546,A,ABC/Pareto using total_trade_price revenue,draft
FLUARIX TETRA SH2021,700.0,420000.0,479624.95,1,1,0,117,1.141964,0.001901,0.606446,A,ABC/Pareto using total_trade_price revenue,draft
ATROPINE,50.5,417130.0,413245.0,3,2,0,118,0.990686,0.001888,0.608334,A,ABC/Pareto using total_trade_price revenue,draft
KZIDINE 35MG,679.1378,412057.82,351756.21,57,14,2,119,0.853657,0.001865,0.610199,A,ABC/Pareto using total_trade_price revenue,draft
IV CANNULA WITH WINGS & INJECTION VALVE G20 1.1X32MM (CATHULA),187.2,411840.0,220896.0,7,3,0,120,0.536364,0.001864,0.612063,A,ABC/Pareto using total_trade_price revenue,draft
GENTAM 40MG,620.214,410176.75,383272.84,60,31,7,121,0.934409,0.001856,0.613919,A,ABC/Pareto using total_trade_price revenue,draft
LYSOL PROFESSIONAL DISINFECTANT LIQUID 5L,150.0,409090.5,88909.5,1,1,0,122,0.217335,0.001851,0.615771,A,ABC/Pareto using total_trade_price revenue,draft
EXECORE 500MG TAB,5223.0,408138.0,550047.0,40,17,0,123,1.347699,0.001847,0.617618,A,ABC/Pareto using total_trade_price revenue,draft
VESSEL COMPARATOR,203.0,406000.0,253710.0,3,3,0,124,0.624901,0.001837,0.619455,A,ABC/Pareto using total_trade_price revenue,draft
SYVIR 400,200.0,400000.0,840000.0,1,1,0,125,2.1,0.00181,0.621266,A,ABC/Pareto using total_trade_price revenue,draft
CORSIN-300 150MG/ML (300MG/2ML) 2ML,6660.2413,392637.67,549831.44,14,7,2,126,1.400353,0.001777,0.623043,A,ABC/Pareto using total_trade_price revenue,draft
PPE LAB.,600.0,390000.0,329400.0,1,1,0,127,0.844615,0.001765,0.624808,A,ABC/Pareto using total_trade_price revenue,draft
SMACK LABORATORY GOWN,2600.0,390000.0,517400.0,2,2,0,128,1.326667,0.001765,0.626573,A,ABC/Pareto using total_trade_price revenue,draft
GYNE-TOCIN 10IU/ML,2535.0775,389846.34,1552387.15,57,26,5,129,3.982049,0.001764,0.628337,A,ABC/Pareto using total_trade_price revenue,draft
GLOVES BLUE VINYL/NITRILE BLEND (MEDIUM),1534.0,389795.0,806007.07,28,9,0,130,2.067772,0.001764,0.630101,A,ABC/Pareto using total_trade_price revenue,draft
HYDROCORTIBAS 100MG VIAL,1470.0,376320.0,144736.0,12,5,0,131,0.384609,0.001703,0.631804,A,ABC/Pareto using total_trade_price revenue,draft
PPE - COLORED (GDR),1500.0,375000.0,510000.0,1,1,0,132,1.36,0.001697,0.633501,A,ABC/Pareto using total_trade_price revenue,draft
MECID 500MG,335.9437,372929.65,456368.55,26,14,6,133,1.223739,0.001688,0.635189,A,ABC/Pareto using total_trade_price revenue,draft
LETTER ENVELOPE LONG,403.6419,372506.85,171769.45,16,6,12,134,0.461118,0.001686,0.636875,A,ABC/Pareto using total_trade_price revenue,draft
IV CANNULA WITH INJECTION PORT LUER LOCK G24 0.7X19MM (CATHULA),156.18,367632.0,160256.4,11,4,0,135,0.435915,0.001664,0.638539,A,ABC/Pareto using total_trade_price revenue,draft
IV CANNULA WITH WINGS LUER LOCK G18 1.5X38MM (CATHULA),166.2,365640.0,197596.0,10,5,0,136,0.540411,0.001655,0.640194,A,ABC/Pareto using total_trade_price revenue,draft
UNDERPADS ANTIBACTERIAL X-LARGE (HEXACARE),3460.0,363418.98,367679.02,6,2,0,137,1.011722,0.001645,0.641838,A,ABC/Pareto using total_trade_price revenue,draft
FACE MASK,5153.3443,362685.16,1707922.16,35,19,2,138,4.709104,0.001641,0.64348,A,ABC/Pareto using total_trade_price revenue,draft
ISOLATION GOWN,3852.0,360760.0,1252308.6,9,5,0,139,3.471307,0.001633,0.645113,A,ABC/Pareto using total_trade_price revenue,draft
SII-TO-VAC 0.5ML,650.0,357500.0,140750.0,2,2,0,140,0.393706,0.001618,0.646731,A,ABC/Pareto using total_trade_price revenue,draft
CUROXIM 750MG WITH DILUENT,13200.0,356400.0,294360.0,9,2,0,141,0.825926,0.001613,0.648343,A,ABC/Pareto using total_trade_price revenue,draft
SANOMAX - FA,633.0,354480.0,230819.34,97,32,0,142,0.651149,0.001604,0.649948,A,ABC/Pareto using total_trade_price revenue,draft
BICARBISAPH 84MG/ML,62.0,351900.0,61900.0,3,3,0,143,0.175902,0.001593,0.65154,A,ABC/Pareto using total_trade_price revenue,draft
RAINCOAT WITH PRINT,1000.0,350000.0,1119632.5,1,1,0,144,3.19895,0.001584,0.653124,A,ABC/Pareto using total_trade_price revenue,draft
CORPILYN 500MG,25770.0,348777.0,238836.5,31,13,0,145,0.684783,0.001578,0.654703,A,ABC/Pareto using total_trade_price revenue,draft
