MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2023,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Area,DR Number,Date Delivered,Product, Qty , CP , Total CP , Disc , Net CP , TP/UNIT , TOTAL TP , Net Income ,%
Batangas,DR 025221,04/02/2023,BENERVA FORTE CAP, 2.00 ," 1,500.00 "," 3,000.00 ", -   ," 3,000.00 ", 525.00 ," 1,050.00 "," 1,950.00 ",65%
Batangas,DR 025222,04/02/2023,BENERVA FORTE CAP, 2.00 ," 1,500.00 "," 3,000.00 ", -   ," 3,000.00 ", 525.00 ," 1,050.00 "," 1,950.00 ",65%
Batangas,DR 025226,04/02/2023,HYCLENS WOUND SPRAY (60ML), 30.00 , 250.00 ," 7,500.00 ", -   ," 7,500.00 ", 114.66 ," 3,439.80 "," 4,060.20 ",54%
Batangas,DR 023876,18/03/2023,DOLO JAGA 500MG/50MG/100MG/100MCG, 5.00 ," 1,800.00 "," 9,000.00 ", -   ," 9,000.00 ", 615.00 ," 3,075.00 "," 5,925.00 ",66%
Batangas,DR 023876,18/03/2023,VOXOLL 30MG TAB, 5.00 , 715.00 ," 3,575.00 ", -   ," 3,575.00 ", 168.00 , 840.00 ," 2,735.00 ",77%
Batangas,DR 023875,18/03/2023,HYCLENS WOUND SPRAY (60ML), 30.00 , 250.00 ," 7,500.00 ", -   ," 7,500.00 ", 114.66 ," 3,439.80 "," 4,060.20 ",54%
Batangas,DR 023874,18/03/2023,OPREX 40MG, 4.00 , 500.00 ," 2,000.00 ", -   ," 2,000.00 ", 250.00 ," 1,000.00 "," 1,000.00 ",50%
Batangas,DR 023873,18/03/2023,TANAFEN 450MG/35MG TAB, 2.00 , 857.00 ," 1,714.00 ", -   ," 1,714.00 ", 175.00 , 350.00 ," 1,364.00 ",80%
Batangas,DR 023872,18/03/2023,C-ZETT 600MG, 4.00 , 288.00 ," 1,152.00 ", -   ," 1,152.00 ", 144.00 , 576.00 , 576.00 ,50%
Batangas,DR 023872,18/03/2023,NICARDSAPH 1MG/ML 10ML AMP, 2.00 ," 10,800.00 "," 21,600.00 ", -   ," 21,600.00 ", 110.00 , 220.00 ," 21,380.00 ",99%
Batangas,DR 023871,18/03/2023,VITACORE 100MG, 2.00 , 400.00 , 800.00 , -   , 800.00 , 115.00 , 230.00 , 570.00 ,71%
Batangas,DR 023871,18/03/2023,DIFLOSID 75MG/3ML, 2.00 , 260.00 , 520.00 , -   , 520.00 , 125.00 , 250.00 , 270.00 ,52%
Batangas,DR 023871,18/03/2023,HEMOBAS 500MG/5ML, 4.00 , 500.00 ," 2,000.00 ", -   ," 2,000.00 ", 190.00 , 760.00 ," 1,240.00 ",62%
Batangas,DR 023877,18/03/2023,LACTAMOX 500MG/125MG TAB, 3.00 ," 3,000.00 "," 9,000.00 ", -   ," 9,000.00 "," 1,173.60 "," 3,520.80 "," 5,479.20 ",61%
Batangas,DR 023877,18/03/2023,TRIZEF 100MG, 3.00 ," 5,400.00 "," 16,200.00 ", -   ," 16,200.00 "," 1,400.00 "," 4,200.00 "," 12,000.00 ",74%
Batangas,DR 023877,18/03/2023,VOXOLL 15MG/5ML SYR, 10.00 , 72.00 , 720.00 , -   , 720.00 , 30.00 , 300.00 , 420.00 ,58%
Batangas,DR 023878,25/03/2023,SILVERDEX 10mg, 2.00 , 142.00 , 284.00 , -   , 284.00 , 54.00 , 108.00 , 176.00 ,62%
Batangas,DR 023878,25/03/2023,VITACORE 100MG, 2.00 , 400.00 , 800.00 , -   , 800.00 , 115.00 , 230.00 , 570.00 ,71%
Batangas,DR 023878,25/03/2023,AMPITREX, 80.00 , 54.00 ," 4,320.00 ", -   ," 4,320.00 ", 27.00 ," 2,160.00 "," 2,160.00 ",50%
Batangas,DR 023878,25/03/2023,SITIXON 1G, 80.00 , 54.00 ," 4,320.00 ", -   ," 4,320.00 ", 36.00 ," 2,880.00 "," 1,440.00 ",33%
Batangas,DR 023879,25/03/2023,EROXIME 750MG, 3.00 , 430.00 ," 1,290.00 ", -   ," 1,290.00 ", 280.00 , 840.00 , 450.00 ,35%
Batangas,DR 023879,25/03/2023,MECLOP 5MG\ML, 10.00 , 64.00 , 640.00 , -   , 640.00 , 32.00 , 320.00 , 320.00 ,50%
Batangas,DR 023879,25/03/2023,EPIX 1MG/ML, 4.00 , 440.00 ," 1,760.00 ", -   ," 1,760.00 ", 190.00 , 760.00 ," 1,000.00 ",57%
Batangas,DR 023879,25/03/2023,ANTIZOAL 5MG/ML, 40.00 , 34.00 ," 1,360.00 ", -   ," 1,360.00 ", 16.00 , 640.00 , 720.00 ,53%
Batangas,DR 023880,25/03/2023,ZEFTACARE 1G, 40.00 , 110.00 ," 4,400.00 ", -   ," 4,400.00 ", 42.00 ," 1,680.00 "," 2,720.00 ",62%
Batangas,DR 023880,25/03/2023,FEBUXOSAPH-40, 2.00 , 600.00 ," 1,200.00 ", -   ," 1,200.00 ", 260.00 , 520.00 , 680.00 ,57%
Batangas,DR 023881,25/03/2023,PORFEVER 150MG/ML, 14.00 , 83.40 ," 1,167.60 ", -   ," 1,167.60 ", 44.00 , 616.00 , 551.60 ,47%
Batangas,DR 023882,25/03/2023,ARTAL-H 50MG/12.5MG, 1.00 ," 3,000.00 "," 3,000.00 ", -   ," 3,000.00 ", 151.82 , 151.82 ," 2,848.18 ",95%
Batangas,DR 023883,25/03/2023,ARTAL-H 50MG/12.5MG, 1.00 ," 3,000.00 "," 3,000.00 ", -   ," 3,000.00 ", 151.82 , 151.82 ," 2,848.18 ",95%
Batangas,DR 023884,25/03/2023,CENDALEX 500MG CAP, 4.00 ," 1,100.00 "," 4,400.00 ", -   ," 4,400.00 ", 287.50 ," 1,150.00 "," 3,250.00 ",74%
Batangas,DR 023885,25/03/2023,JAGA 300MG/100MG/100MCG, 1.00 ," 1,590.00 "," 1,590.00 ", -   ," 1,590.00 ", 530.00 , 530.00 ," 1,060.00 ",67%
Batangas,DR 023886,25/03/2023,BENERVA FORTE CAP, 2.00 ," 1,500.00 "," 3,000.00 ", -   ," 3,000.00 ", 525.00 ," 1,050.00 "," 1,950.00 ",65%
Batangas,DR 023888,25/03/2023,EMZART 80, 5.00 , 924.00 ," 4,620.00 ", -   ," 4,620.00 ", 264.00 ," 1,320.00 "," 3,300.00 ",71%
