MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2017,,,,,,,,,,,,
,,,,,,,,,,,,
DR,DATE,AREA,PRODUCT, GROSS SALES ,UNIT PRICE,GROSS,DISCOUNT,, QTY , TP , TOTAL , NET INCOME 
,,,,,,,%, AMOUNT ,,,,
12198,4/26/17,CAM NORTE,#REF!, 1.00 , 975.00 , 975.00 ,,, 1 , 307.00 , 307.00 , 668.00 
12198,4/26/17,CAM NORTE,#REF!, 1.00 , 870.00 , 870.00 ,,, 1 , 219.00 , 219.00 , 651.00 
12198,4/26/17,CAM NORTE,#REF!, 1.00 , 500.00 , 500.00 ,,, 1 , 133.00 , 133.00 , 367.00 
12199,4/26/17,CAM NORTE,#REF!, 1.00 ," 1,425.00 "," 1,425.00 ",,, 1 , 445.00 , 445.00 , 980.00 
12199,4/26/17,CAM NORTE,#REF!, 1.00 ," 1,200.00 "," 1,200.00 ",,, 1 , 351.00 , 351.00 , 849.00 
12199,4/26/17,CAM NORTE,#REF!, 1.00 ," 1,800.00 "," 1,800.00 ",,, 1 , 535.00 , 535.00 ," 1,265.00 "
12199,4/26/17,CAM NORTE,#REF!, 1.00 , 750.00 , 750.00 ,,, 1 , 227.50 , 227.50 , 522.50 
12199,4/26/17,CAM NORTE,#REF!, 1.00 ," 3,000.00 "," 3,000.00 ",,, 1 ," 1,450.00 "," 1,450.00 "," 1,550.00 "
12199,4/26/17,CAM NORTE,#REF!, 1.00 ," 1,200.00 "," 1,200.00 ",,, 1 , 345.00 , 345.00 , 855.00 
12199,4/26/17,CAM NORTE,#REF!, 1.00 ," 2,800.00 "," 2,800.00 ",,, 1 ," 1,173.60 "," 1,173.60 "," 1,626.40 "
12199,4/26/17,CAM NORTE,#REF!, 1.00 ," 1,600.00 "," 1,600.00 ",,, 1 , 480.90 , 480.90 ," 1,119.10 "
12200,4/21/17,CAM NORTE,#REF!, 2.00 , 750.00 ," 1,500.00 ",,, 2 , 227.50 , 455.00 ," 1,045.00 "
12399,5/19/17,GOVERNMENT,#REF!, 800.00 , 510.00 ," 408,000.00 ",, -   , 800 , 73.00 ," 58,400.00 "," 349,600.00 "
12765,4/18/17,LAGUNA,#REF!, 40.00 , 190.00 ," 7,600.00 ",, -   , 40.00 , 73.00 ," 2,920.00 "," 4,680.00 "
12765,4/18/17,LAGUNA,#REF!, 2.00 ," 1,225.00 "," 2,450.00 ",, -   , 2.00 , 415.00 , 830.00 ," 1,620.00 "
12765,4/18/17,LAGUNA,#REF!, 2.00 ," 2,100.00 "," 4,200.00 ",, -   , 2.00 ," 1,450.00 "," 2,900.00 "," 1,300.00 "
12780,5/2/17,LAGUNA,#REF!, 2.00 , 990.00 ," 1,980.00 ",, -   , 2.00 , 384.00 , 768.00 ," 1,212.00 "
12780,5/2/17,LAGUNA,#REF!, 2.00 ," 2,269.80 "," 4,539.60 ",, -   , 2.00 , 630.00 ," 1,260.00 "," 3,279.60 "
12780,5/2/17,LAGUNA,#REF!, 5.00 ," 2,546.00 "," 12,730.00 ",, -   , 5.00 , 680.00 ," 3,400.00 "," 9,330.00 "
12780,5/2/17,LAGUNA,#REF!, 2.00 ," 4,000.00 "," 8,000.00 ",, -   , 2.00 , 650.00 ," 1,300.00 "," 6,700.00 "
12781,5/3/17,LAGUNA,#REF!, 100.00 , 380.00 ," 38,000.00 ",, -   , 100.00 , 45.00 ," 4,500.00 "," 33,500.00 "
12781,5/3/17,LAGUNA,#REF!, 50.00 , 120.00 ," 6,000.00 ",, -   , 50.00 , 42.00 ," 2,100.00 "," 3,900.00 "
12782,5/13/17,LAGUNA,#REF!, 2.00 ," 3,000.00 "," 6,000.00 ",, -   , 2.00 , 650.00 ," 1,300.00 "," 4,700.00 "
12783,5/9/17,LAGUNA,#REF!, 40.00 , 73.00 ," 2,920.00 ",, -   , 40.00 , 73.00 ," 2,920.00 ", -   
12783,5/9/17,LAGUNA,#REF!, 2.00 ," 1,450.00 "," 2,900.00 ",, -   , 2.00 ," 1,450.00 "," 2,900.00 ", -   
12783,5/9/17,LAGUNA,#REF!, 2.00 , 415.00 , 830.00 ,, -   , 2.00 , 415.00 , 830.00 , -   
12784,5/10/17,LAGUNA,#REF!, 2.00 ," 1,800.00 "," 3,600.00 ",, -   , 2.00 , 540.00 ," 1,080.00 "," 2,520.00 "
12785,5/10/17,LAGUNA,#REF!, 12.00 , 310.00 ," 3,720.00 ",, -   , 12.00 , 129.70 ," 1,556.40 "," 2,163.60 "
12785,5/10/17,LAGUNA,#REF!, 6.00 , 190.00 ," 1,140.00 ",, -   , 6.00 , 75.60 , 453.60 , 686.40 
12786,5/10/17,LAGUNA,#REF!, 12.00 , 200.00 ," 2,400.00 ",, -   , 12.00 , 155.00 ," 1,860.00 ", 540.00 
12787,5/10/17,LAGUNA,#REF!, 1.00 ," 2,800.00 "," 2,800.00 ",, -   , 1.00 ," 1,173.60 "," 1,173.60 "," 1,626.40 "
12787,5/10/17,LAGUNA,#REF!, 1.00 ," 3,000.00 "," 3,000.00 ",, -   , 1.00 ," 1,450.00 "," 1,450.00 "," 1,550.00 "
12788,5/10/17,LAGUNA,#REF!, 10.00 , 120.00 ," 1,200.00 ",, -   , 10.00 , 25.00 , 250.00 , 950.00 
12789,5/10/17,LAGUNA,#REF!, 10.00 , 279.99 ," 2,799.90 ",, -   , 10.00 , 81.00 , 810.00 ," 1,989.90 "
12789,5/10/17,LAGUNA,#REF!, 10.00 , 600.00 ," 6,000.00 ",, -   , 10.00 , 170.00 ," 1,700.00 "," 4,300.00 "
12790,5/11/17,LAGUNA,#REF!, 4.00 , 480.00 ," 1,920.00 ",, -   , 4.00 , 207.00 , 828.00 ," 1,092.00 "
12791,5/12/17,LAGUNA,#REF!, 40.00 , 190.00 ," 7,600.00 ",, -   , 40.00 , 73.00 ," 2,920.00 "," 4,680.00 "
12791,5/12/17,LAGUNA,#REF!, 2.00 ," 2,100.00 "," 4,200.00 ",, -   , 2.00 ," 1,450.00 "," 2,900.00 "," 1,300.00 "
