MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2019,,,,,,,,,,,,
,,,,,,,,,,,,
DRNumber,DRDate,AREA,Product, Qty , ContractPrice , TOTAL CP , Discount , TotalCP , TransferPrice , Total TP , Net Income ,
15894,05-Mar-18,Laguna,FEBUNAZ 40MG, 1.00 ," 2,600.00 "," 2,600.00 ", -   ," 2,600.00 ",,," 2,600.00 ",
15894,05-Mar-18,Laguna,MAROZEL 40mg, 0.50 ," 1,500.00 ", 750.00 , -   , 750.00 ,,, 750.00 ,
15894,05-Mar-18,Laguna,ZINCAVIT 55mg/ml, 5.00 , 88.00 , 440.00 , -   , 440.00 , 34.04 , 170.20 , 269.80 ,
15894,05-Mar-18,Laguna,MEFECOD 50mg, 0.20 ," 38,000.00 "," 7,600.00 ", -   ," 7,600.00 ", 741.25 , 148.25 ," 7,451.75 ",
15894,05-Mar-18,Laguna,ERCEFLORA 5ml, 10.00 ," 1,200.00 "," 12,000.00 ", -   ," 12,000.00 ",,," 12,000.00 ",
15894,05-Mar-18,Laguna,CORBAL 100mg, 3.00 ," 1,200.00 "," 3,600.00 ", -   ," 3,600.00 ", 50.00 , 150.00 ," 3,450.00 ",
15894,05-Mar-18,Laguna,EUROXONE 1g, 80.00 , 264.00 ," 21,120.00 ", -   ," 21,120.00 ", 73.00 ," 5,840.00 "," 15,280.00 ",
15894,05-Mar-18,Laguna,BRISOFER 250mg, 3.00 , 300.00 , 900.00 , -   , 900.00 , 105.00 , 315.00 , 585.00 ,
15894,05-Mar-18,Laguna,CALCIUM CARBONATE, 2.00 , 300.00 , 600.00 , -   , 600.00 ,,, 600.00 ,
15894,05-Mar-18,Laguna,COLCHICINE 500mcg , 2.00 , 300.00 , 600.00 , -   , 600.00 ,,, 600.00 ,
15895,06-Mar-18,Laguna,FEXIL 250mg/5ml, 10.00 , 198.00 ," 1,980.00 ", -   ," 1,980.00 ",,," 1,980.00 ",
15895,06-Mar-18,Laguna,NICTRAM 50mg/ml, 1.00 ," 1,400.00 "," 1,400.00 ", -   ," 1,400.00 ",,," 1,400.00 ",
15896,06-Mar-18,Laguna,OMCARE 40mg, 1.00 ," 2,550.00 "," 2,550.00 ", -   ," 2,550.00 ", 391.30 , 391.30 ," 2,158.70 ",
