normalized_key,raw_product,row_count
NEBULIZER KIT ADULT,NEBULIZER KIT ADULT (SURGITECH),5
GLOVES LARGE LATEX NONSTERILE,GLOVES LARGE LATEX NONSTERILE (INDOPLAS),8
GLOVES LARGE LATEX NONSTERILE,GLOVES LARGE LATEX NONSTERILE (DR.CARE),1
GLOVES LARGE LATEX NONSTERILE,GLOVES LARGE LATEX NONSTERILE (PROCARE),1
GLOVES LARGE LATEX NONSTERILE,GLOVES LARGE LATEX NONSTERILE (SCHULLERMED),1
FERRICORE 325MG,FERRICORE 325MG,9
FERRICORE 325MG,FERRICORE 325MG TAB,1
LEUKOPLAST 1,"LEUKOPLAST 1"" (2.5CMX5M)",8
LEUKOPLAST 1,LEUKOPLAST 1'' (2.5CMX5M),2
SOLVASC 5MG,SOLVASC 5MG,6
SOLVASC 5MG,SOLVASC 5MG TAB,4
MYREVIT C 500MG,MYREVIT-C 500MG,7
MYREVIT C 500MG,MYREVIT-C 500MG TAB,3
UNISOL M,UNISOL-M,6
UNISOL M,UNISOL - M,4
SANOVIZ OB PLUS,SANOVIZ OB PLUS,6
SANOVIZ OB PLUS,SANOVIZ OB PLUS CAP,4
DISPOSABLE DIAPER ADULT LARGE,DISPOSABLE DIAPER ADULT LARGE (HEXACARE),3
DISPOSABLE DIAPER ADULT LARGE,DISPOSABLE DIAPER ADULT LARGE (EVERWELL),2
DISPOSABLE DIAPER ADULT LARGE,DISPOSABLE DIAPER ADULT LARGE (TOPCARE),1
DISPOSABLE DIAPER ADULT LARGE,DISPOSABLE DIAPER ADULT LARGE (DR.CARE),1
DISPOSABLE DIAPER ADULT LARGE,DISPOSABLE DIAPER ADULT LARGE (PRIME CARE),1
DISPOSABLE DIAPER ADULT LARGE,DISPOSABLE DIAPER ADULT LARGE (SURE-GUARD),1
DISPOSABLE DIAPER ADULT LARGE,DISPOSABLE DIAPER ADULT LARGE (SURGITECH),1
GLOVES GLOMED,GLOVES (M) - GLOMED,6
GLOVES GLOMED,GLOVES (L) - GLOMED,3
HYPERSTOP 25MG,HYPERSTOP 25MG,5
HYPERSTOP 25MG,HYPERSTOP 25MG TAB,4
LUCAZT 10MG,LUCAZT 10MG,8
LUCAZT 10MG,LUCAZT 10MG TAB,1
DISPOSABLE SYRINGE 23GX1 LUER LOCK DELCARE,DISPOSABLE SYRINGE (10CC/ML) 23GX1 LUER LOCK - DELCARE,4
DISPOSABLE SYRINGE 23GX1 LUER LOCK DELCARE,DISPOSABLE SYRINGE (5CC/ML) 23GX1 LUER LOCK - DELCARE,3
DISPOSABLE SYRINGE 23GX1 LUER LOCK DELCARE,DISPOSABLE SYRINGE (3CC/ML) 23GX1 LUER LOCK - DELCARE,2
UMBILICAL CORD CLAMP,UMBILICAL CORD CLAMP,5
UMBILICAL CORD CLAMP,UMBILICAL CORD CLAMP (SURGITECH),2
UMBILICAL CORD CLAMP,UMBILICAL CORD CLAMP (TOPCARE),1
UMBILICAL CORD CLAMP,UMBILICAL CORD CLAMP (PARTNERS),1
ELASTIC BANDAGE 3X5,ELASTIC BANDAGE 3X5 (SURE-GUARD),3
ELASTIC BANDAGE 3X5,ELASTIC BANDAGE 3X5 (INDOPLAS),3
ELASTIC BANDAGE 3X5,ELASTIC BANDAGE 3X5 (SURGITECH),2
ELASTIC BANDAGE 3X5,ELASTIC BANDAGE 3X5 (PARTNERS),1
IV CANNULA WITH WINGS INJECTION VALVE G20 1 1X32MM,IV CANNULA WITH WINGS & INJECTION VALVE G20 1.1X32MM (CATHULA),7
IV CANNULA WITH WINGS INJECTION VALVE G20 1 1X32MM,IV CANNULA WITH WINGS & INJECTION VALVE G20 1.1X32MM (CANCARE),2
URISOL 100MG,URISOL 100MG,4
URISOL 100MG,URISOL 100MG TAB,4
CAPTOBES 25MG,CAPTOBES 25MG,7
CAPTOBES 25MG,CAPTOBES 25MG TAB,1
NASAL OXYGEN CANNULA SURGITECH,NASAL OXYGEN CANNULA (ADULT) - SURGITECH,5
NASAL OXYGEN CANNULA SURGITECH,NASAL OXYGEN CANNULA (PEDIA) - SURGITECH,3
MYREFEN 500MG,MYREFEN 500MG,5
MYREFEN 500MG,MYREFEN 500MG CAP,3
ELASTIC BANDAGE 6X5,ELASTIC BANDAGE 6X5 (PARTNERS),4
ELASTIC BANDAGE 6X5,ELASTIC BANDAGE 6X5 (INDOPLAS),2
ELASTIC BANDAGE 6X5,ELASTIC BANDAGE 6X5 (SURE-GUARD),1
ELASTIC BANDAGE 6X5,ELASTIC BANDAGE 6X5 (SURGITECH),1
DIGITAL THERMOMETER,DIGITAL THERMOMETER (SURGITECH),7
DIGITAL THERMOMETER,DIGITAL THERMOMETER (BUZZLE),1
ELASTIC BANDAGE 4X5,ELASTIC BANDAGE 4X5 (INDOPLAS),6
ELASTIC BANDAGE 4X5,ELASTIC BANDAGE 4X5 (PARTNERS),2
GABASAPH 300MG,GABASAPH-300MG,5
GABASAPH 300MG,GABASAPH 300MG,3
PREHEXA,PREHEXA,5
PREHEXA,PREHEXA CAPSULE,3
AWANAY FORTE 500MG,AWANAY FORTE 500MG,6
AWANAY FORTE 500MG,AWANAY FORTE 500MG TAB,1
IBUFEN 400MG,IBUFEN 400MG TAB,6
IBUFEN 400MG,IBUFEN 400MG,1
LUBRICATING JELLY 150G,LUBRICATING JELLY 150G,4
LUBRICATING JELLY 150G,LUBRICATING JELLY 150G (PARTNERS),2
LUBRICATING JELLY 150G,LUBRICATING JELLY 150G (NOBRAND),1
FENOCARE 200MG,FENOCARE 200MG CAP,4
FENOCARE 200MG,FENOCARE 200MG,3
DISPOSABLE PREP RAZOR SINGLE EDGE,DISPOSABLE PREP RAZOR-SINGLE EDGE (UNIMEX),6
DISPOSABLE PREP RAZOR SINGLE EDGE,DISPOSABLE PREP RAZOR-SINGLE EDGE (KAI),1
DISPOSABLE SYRINGE 5CC 23GX1,DISPOSABLE SYRINGE 5CC 23GX1 (TERUMO),5
DISPOSABLE SYRINGE 5CC 23GX1,DISPOSABLE SYRINGE 5CC 23GX1 (SURESHOT),1
DISPOSABLE SYRINGE 5CC 23GX1,DISPOSABLE SYRINGE 5CC 23GX1 (SUREGUARD),1
GLOVES SMALL LATEX NONSTERILE,GLOVES SMALL LATEX NONSTERILE (INDOPLAS),3
GLOVES SMALL LATEX NONSTERILE,GLOVES SMALL LATEX NONSTERILE (FUSION),1
GLOVES SMALL LATEX NONSTERILE,GLOVES SMALL LATEX NONSTERILE (FITONE),1
GLOVES SMALL LATEX NONSTERILE,GLOVES SMALL LATEX NONSTERILE (FUSIONQUANTUM),1
GLOVES SMALL LATEX NONSTERILE,GLOVES SMALL LATEX NONSTERILE (SCHULLERMED),1
COMXICLA 625MG,COMXICLA 625MG TAB,4
COMXICLA 625MG,COMXICLA 625MG,2
SKIN STAPLER,SKIN STAPLER,4
SKIN STAPLER,SKIN STAPLER (SURGITECH),2
AGLIC MR 30MG,AGLIC MR- 30MG,5
AGLIC MR 30MG,AGLIC MR 30MG,1
WALIS TAMBO,WALIS TAMBO,5
WALIS TAMBO,WALIS TAMBO (SOFT),1
GLOVES SMALL NITRILE NONSTERILE,GLOVES SMALL NITRILE NONSTERILE (SURGITECH),5
GLOVES SMALL NITRILE NONSTERILE,GLOVES SMALL NITRILE NONSTERILE (INDOPLAS),1
COM FEMIC 500MG,COM-FEMIC 500MG CAP,4
COM FEMIC 500MG,COM-FEMIC 500MG,2
DIASTATIN 40MG,DIASTATIN 40MG,3
DIASTATIN 40MG,DIASTATIN 40MG TAB,3
DISPOSABLE SYRINGE 3CC 23GX1,DISPOSABLE SYRINGE 3CC 23GX1 (TERUMO),4
DISPOSABLE SYRINGE 3CC 23GX1,DISPOSABLE SYRINGE 3CC 23GX1 (INDOPLAS),2
PULSE OXIMTER ADULT,PULSE OXIMTER ADULT (CHOICEMMED),4
PULSE OXIMTER ADULT,PULSE OXIMTER ADULT (NO BRAND),1
PULSE OXIMTER ADULT,PULSE OXIMTER ADULT (INDOPLAS),1
ELASTIC BANDAGE 2X5,ELASTIC BANDAGE 2X5 (INDOPLAS),3
ELASTIC BANDAGE 2X5,ELASTIC BANDAGE 2X5 (PARTNERS),2
ELASTIC BANDAGE 2X5,ELASTIC BANDAGE 2X5 (SURE-GUARD),1
NOREPHIMED 1MG ML,NOREPHIMED 1MG/ML,3
NOREPHIMED 1MG ML,NOREPHIMED 1MG/ML (4MG/4ML),2
RAHMACIN 500MG,RAHMACIN 500MG,4
RAHMACIN 500MG,RAHMACIN 500MG TAB,1
FEVRAL 200MG,FEVRAL 200MG,4
FEVRAL 200MG,FEVRAL 200MG TAB,1
PULSE OXIMETER,PULSE OXIMETER,3
PULSE OXIMETER,PULSE OXIMETER (XIAOO),2
AMBICAL 500MG,AMBICAL 500MG TAB,3
AMBICAL 500MG,AMBICAL 500MG,2
FACEMASK,FACEMASK (INDOPLAS),3
FACEMASK,FACEMASK (CROSSPOINT),2
SAPHRIN 80MG,SAPHRIN 80MG,3
SAPHRIN 80MG,SAPHRIN 80MG TAB,2
MILGESIC FORTE 500MG,MILGESIC FORTE 500MG TAB,4
MILGESIC FORTE 500MG,MILGESIC FORTE 500MG,1
ENDOTRACHEAL TUBE CUFFED 7 0MM,ENDOTRACHEAL TUBE CUFFED 7.0MM (SEDASENZ),2
ENDOTRACHEAL TUBE CUFFED 7 0MM,ENDOTRACHEAL TUBE CUFFED 7.0MM (INDOPLAS),1
ENDOTRACHEAL TUBE CUFFED 7 0MM,ENDOTRACHEAL TUBE CUFFED 7.0MM (PARTNERS),1
ENDOTRACHEAL TUBE CUFFED 7 0MM,ENDOTRACHEAL TUBE CUFFED 7.0MM (SIMPLEX),1
DISPOSABLE NEEDLE G18,DISPOSABLE NEEDLE G18 (INDOPLAS),3
DISPOSABLE NEEDLE G18,DISPOSABLE NEEDLE G18 (ORMED),2
SPIRODEN 50MG,SPIRODEN 50MG,2
SPIRODEN 50MG,SPIRODEN 50MG TAB,2
LORASAPH 10MG,LORASAPH 10MG,3
LORASAPH 10MG,LORASAPH 10MG TAB,1
CAUTERY PENCIL,CAUTERY PENCIL (ORMED),3
CAUTERY PENCIL,CAUTERY PENCIL (ELECTRO SURGICAL PRODUCTS),1
ALL SILICONE STOMACH TUBE FR16,ALL SILICONE STOMACH TUBE FR16 (PARTNERS),2
ALL SILICONE STOMACH TUBE FR16,ALL SILICONE STOMACH TUBE FR16 (ORMED),2
NASAL OXYGEN CANNULA ADULT,NASAL OXYGEN CANNULA ADULT (HEXACARE),3
NASAL OXYGEN CANNULA ADULT,NASAL OXYGEN CANNULA ADULT (SURGITECH),1
ISOPROPHYL ALCOHOL 70 GALLON,ISOPROPHYL ALCOHOL 70% GALLON (DR.J),3
ISOPROPHYL ALCOHOL 70 GALLON,ISOPROPHYL ALCOHOL 70% GALLON (ALCORADE),1
URINE COLLECTOR PEDIA 100ML,URINE COLLECTOR PEDIA 100ML (INDOPLAS),3
URINE COLLECTOR PEDIA 100ML,URINE COLLECTOR PEDIA 100ML (PARTNERS),1
ENDOTRACHEAL TUBE UNCUFFED 3 0MM,ENDOTRACHEAL TUBE UNCUFFED 3.0MM (INDOPLAS),1
ENDOTRACHEAL TUBE UNCUFFED 3 0MM,ENDOTRACHEAL TUBE UNCUFFED 3.0MM (PARTNERS),1
ENDOTRACHEAL TUBE UNCUFFED 3 0MM,ENDOTRACHEAL TUBE UNCUFFED 3.0MM (TOPCARE),1
ENDOTRACHEAL TUBE UNCUFFED 3 0MM,ENDOTRACHEAL TUBE UNCUFFED 3.0MM (SEDASENZ),1
BABY WIPES,BABY WIPES,3
BABY WIPES,BABY WIPES (HEXACARE),1
BOND PAPER A4,BOND PAPER A4 (HARDCOPY),3
BOND PAPER A4,BOND PAPER A4 (HOKKAIDO),1
DOLSAPH 325MG 37 5MG,DOLSAPH 325MG/37.5MG TAB,3
DOLSAPH 325MG 37 5MG,DOLSAPH 325MG/37.5MG,1
NELATON CATHETER FR 8,NELATON CATHETER FR.8 (ORMED),3
NELATON CATHETER FR 8,NELATON CATHETER FR.8 (SIMPLEX),1
OXYGEN MASK NEONATE,OXYGEN MASK NEONATE (INDOPLAS),2
OXYGEN MASK NEONATE,OXYGEN MASK NEONATE (SURE-GUARD),1
OXYGEN MASK NEONATE,OXYGEN MASK NEONATE (SURGITECH),1
TOOTHPASTE CLOSE UP RED 50ML,TOOTHPASTE CLOSE-UP RED 50ML,2
TOOTHPASTE CLOSE UP RED 50ML,TOOTHPASTE CLOSE UP RED 50ML,1
DISPOSABLE GLOVES VINYL AIEL,(M) DISPOSABLE GLOVES VINYL AIEL,1
DISPOSABLE GLOVES VINYL AIEL,(S) DISPOSABLE GLOVES VINYL AIEL,1
DISPOSABLE GLOVES VINYL AIEL,(L) DISPOSABLE GLOVES VINYL AIEL,1
AGORAM 50MG,AGORAM 50MG,2
AGORAM 50MG,AGORAM 50MG CAP,1
MANNITOL 500ML,MANNITOL 500ML,2
MANNITOL 500ML,MANNITOL 500ML (SAHAR),1
METOCLOSIL 5MG ML,METOCLOSIL 5MG/ML (10MG/2ML),2
METOCLOSIL 5MG ML,METOCLOSIL 5MG/ML,1
SALBUSAPH 1MG ML,SALBUSAPH 1MG/ML (2.5MG/2.5ML),2
